SP ID,Registration Batch,Gender,Age,Work Experience/Company,Work Experience/Designation,Work Experience/Tasks,Work Experience/Industry,Work Experience/From Date,Work Experience/To Date,Education/Qualifications,Education/Institution's Name,Education/City,Education/Specialization,Any Additional Skills,Computer Skills,Skills,Languages,Any Hobbies/Interests,Hobbies/Interests/Type,Hobbies/Interests/Name,CLUSTER,Other Cluster
618273,2025 - 2026 [upcoming_batch],Male,38,Cortecnet,Sales representative,"Responsible for sales of consumables and molecules labeled with stable isotopes (high value-added products) for various analytical and imaging techniques such as NMR, MS, MRI and PET. Client calls - 40% / Salesforce and Quotations - 40 % / Client Visits - 20% Results: Increase of profits by 53% between 31.12.2018 - 31.12.2017  2019 main achievement - Profits match with previous year, with business diversification to raise a new devision of business as 26% of the profits of the Zone I managed.",Research and Development,"2017-05-15,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT","2023-12-30,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT","Master of Science (M.Sc),Other,Master of Science (M.Sc),Other,Other,Bachelor of Arts (B.A.)","ESCP Europe Business School,Prague Film School,Blekinge Institute of Technology,European College of Liberal Arts,Southern Maine Community College,Yerevan State Univeristy","Paris/London,Prague,Karlskrona/Sweden,Berlin,South Portland/USA,Yerevan/Armenia","Creativity and Marketing,Film Direction, Camera operation, Film editing, Sound recording,Strategic Leadership for Sustainable Development,Art and Philisophy (mainly art installation),General studies,Social Work","✔Various types of art. Studied multiple forms all over the world.
✔Can sing and play Piano
✔MS office, Adobe photoshop, premiere Davinci Resolve video editing, color grading, VR, AI art, Digital painting","MS office, Adobe photoshop, premiere Davinci Resolve video editing, color grading, VR, AI art, Digital painting, etc","Arts and Crafts / Musician,Corporate / Sales Executive","French / Français (R W S T),Russian / русский язык (R W S T)",Visual art,"Communication,Arts & Crafts","Poetry,Painting",,
618269,2025 - 2026 [upcoming_batch],Male,24,"Sanjeevini wellness center,Anumeha Antiques,Technotask","Assistant of doctor,Proprietor,CSE","Assisting doctor, handling patients, technical operations, overall flow of the wellness center,Market analysis, selling strategist, hiring and training of recruits, overall development of the company.,Customer support and problem solving via chat and call.","Healthcare,Art,BPO and KPO","2024-04-09,2018-01-02,2023-02-20,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT","NaT,2023-01-26,2023-12-10,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT",,,,,,Google analytics with basic data handling,Arts and Crafts / Actor,"English (US) (R W S T),Hindi / हिंदी (R W S )",,,,,
618140,2025 - 2026 [upcoming_batch],Male,27,"Hong BBQ and Hot Pot,Nine Spice Hot Pot","Server,Server","Server at a restaurant,Server at a restaurant","Others,Others","2024-10-03,2022-01-10,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT","NaT,2024-01-05,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT",Bachelor - Other,Community College of Allegheny County,Pittsburgh,Arts,,"Microsoft Word, Powerpoint, Excel, Adobe Photoshop, Adobe Premiere. 
Photography, Videos","Arts and Crafts / Clay Modeller,Arts and Crafts / Painter",English (US) (R W S T),,"Arts & Crafts,Arts & Crafts","Painting,Pottery",,
618139,2025 - 2026 [upcoming_batch],Male,26,,,,,"NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT","NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT","Bachelor of Arts (B.A.),Bachelor of Law (B.L. / LLB)","UNIVERSITY OF DELHI,UNIVERSITY OF DELHI","NEW DELHI,NEW DELHI","HUMANITIES,LAW",,BASIC KNOWLEDGE,Emedia / Active on Social Media,"Hindi / हिंदी (R W S ),English (AU) (R W S T)",,,,,
618134,2025 - 2026 [upcoming_batch],Female,28,"Indus Universal School,Creative multimedia college of Finearts,Kadari Art gallery","Drawing and painting Faculty,Drawing and painting Faculty,Gallery Assistant","Teaching Art as a subject and beyond,Teaching,Curating art exhibitions, client deals, gallery management, field works, interior art proposals, website backend end.","Teaching,Art,Art","2023-06-10,2021-10-04,2021-06-14,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT","NaT,2023-05-31,2021-10-01,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT",Master of Fine Arts (M.F.A.),Jawaharlal Nehru Architecture and Finearts university,Hyderabad,Painting and visual communication,,"Ppts, Excel",Arts and Crafts / Actor,English (UK) (R W S T),,,,,
618080,2025 - 2026 [upcoming_batch],Female,51,"Yamuna International Airport Limited,OLA-ANI Technologies pvt ltd,Hyderabad International Airport,Kempegowda International Airport pvt ltd,ICICI Prudential Life insurance pvt ltd,Indian Air Force","Head Aviation Safety,Head Safety,Head Aviation Safety,Head Aviation Safety,Senior ManagerHuman Resource,Squadron Leader AirTraffic Controller","Responsible for conceptualizing, implementing and leading the safety management system for the Airport . It involves setting up processes and driving it centrally through all internal heads (Departments-Airside operations , Airport operations centre, Aircraft rescue and Fire fighting, Engineering and maintainance, Airport safety and security, Cargo operations) and external stakeholders (Airlines/Groundhandlers/Refuellers/Caterers/ Concessionaires, Regulator, other state and centralGovt bodies),	Established the new vertical of Safety and brought in the best practices from the Aviation industry. 	Lead safety initiatives, developed, implemented and administered programs and processes related to Safety. 	Driven a safe and compliant culture across  with the business partners and customers.,	Successfully implemented “Integrated Safety Management System (ISMS)’ at Rajiv Gandhi International Airport [IMS 9001, 14001 &18001; British Safety Council’s OH&SMS and ICAO mandated SMS at the Airport.] 	As a part of the core team-Achieved the British Safety Council’s Health and Safety Management System (SMS) Five star and Sword of Honor with 99% score. Among the first Airport in the world to have achieved the same.  	Devised and rolled out an Annual Safety plan for the company with deliverables from all departments measured and integrating into the safety office. 	Automation of the Safety Management System.,	Successfully implemented “Safety Management System’ at Bengaluru International Airport. 	Included implementation of safety objectives and policies, Review of safety parameters in accordance with operational demands, management of safety with the business parameters of minimizing cost, maximizing productivity and achieving an acceptable safety standard across agencies. 	Investigation and Audits, Safety training and promotions, Safety risk management, Safety assurance, developing ‘Management Information Summaries’ and creating a robust safety culture across agencies formed the core function in the implementation strategy. 	The Airport is the first in India to have successfully initiated and operationalized the implementation of the Safety Management System as per international and national regulatory standards.,	Employee engagement for a large team in the southern states of Karnataka and Goa, India. 	Hiring of Senior Managers and ensuring quality & timely on- boarding of employees. 	Monthly operations dashboards and key management reports. 	Induction-trainings during employee on-boarding process. 	Presided over the promotion boards for Managers through a selection process that involved case studies and role-plays.,	Air Traffic services at various military and joint user air bases throughout the country. 	Supervised, trained, examined and rated the junior controllers. 	Conducted regular training programmes which included content development, training delivery, conduct of mock exercises and drills for the operational staff including simulated emergencies like Aircraft crash scenario. 	Member of the core operational group in executing International collaborated Air exercises of Military with United States and Singapore Air Force.  	Presiding officer/Member in the conduct of Court of Inquiries of untoward occurrences or incidents which involved detailed investigations and root cause analysis. 	Vice President, Air Force Employees consumer cooperative society, President of Women’s working committee, Officer-in-charge of various non-profit ventures.","Others,Travel,Others,Others,Insurance,Defence Jobs","2022-08-10,2015-07-01,2012-12-01,2008-03-01,2007-05-01,1996-05-24,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT","NaT,2015-12-31,2014-12-31,2010-03-31,2008-03-01,2007-05-23,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT","Other,Bachelor - Other","Indian Institute of Management Ahmedabad,University of Agricultural sciences Bengaluru","Ahmedabad,Bengaluru","Business Administration for Armed forces Officers,Agricultural marketing & Cooperation",,Average,Emedia / Active on Social Media,"English (US) (R W S T),Hindi / हिंदी (R W S T),Malayalam (R W S ),Kannada (  S )",,,,,
617968,2025 - 2026 [upcoming_batch],Female,23,,,,,"NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT","NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT",,,,,,",n",Arts and Crafts / Actor,Arabic / الْعَرَبيّة ( W S T),,,,,
617949,2025 - 2026 [upcoming_batch],Male,27,Adzefitnessstudio,Fitness manger &coach,Management,Consulting,"2018-06-09,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT","NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT","SSLC/10,Bachelor - Other",Ansaldo high school,Chengalpat,NA Sports and other certification,,Basic,Emedia / Active on Social Media,English (US) (R W S T),,"Sports,Sports","Cricket,Badminton",,
617897,2025 - 2026 [upcoming_batch],Female,26,"The school, Krishnamurti Foundation India,Namma Ooru Global School, Gangaikondan","Teaching staff,Teaching staff","Middle school (Science and Math),Classes 5, 6, 7 and 8 (Science)","Teaching,Teaching","2020-06-10,2019-09-01,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT","NaT,2020-06-10,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT","Bachelor of Engineering (B.E.),Bachelor of Education (B.Ed.)","National engineering college, Kovilpatti,Tamil Nadu Open University","Kovilpatti,Chennai","Electronics and communication,Intellectual disability",,Basic word and excel,Emedia / Active on Social Media,"English (US) (R W S T),Hindi / हिंदी (R W S )",She has been practicing and performing Bharatanatyam on a daily basis. She has performed multiple times on different platforms,Classical Music,Bharatanatyam,,
617885,2025 - 2026 [upcoming_batch],Male,23,Bharathi Cement,Data entry,,Manufacturing,"2023-05-05,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT","2023-09-05,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT",Bachelor of Computer Application (B.C.A.),Rani Tirumala Devi College of sciences,"Kadapa (district), Andhra Pradesh",,"C, C++","Ms office, Typing speed of 45 wpm, Computer networking, programming C language",Basic Computer Skills / Basic Computer (MS Office and Email) Skills,English (UK) (R W S T),,,,,
617822,2025 - 2026 [upcoming_batch],Male,34,,,,,"NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT","NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT",,,,,,not good,Medical / Allopathy Doctor,Arabic / الْعَرَبيّة (R W S T),,,,,
617813,2025 - 2026 [upcoming_batch],Male,24,,,,,"NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT","NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT",Bachelor of Science (B.Sc),Nizam college,Hyderabad,Mathematics Physics Chemistry,Preaparing for UPSC,I don't have any computer skills,"Emedia / Active on Social Media,Soft Skills / Enthusiastic,Soft Skills / Fit for Physical Seva","English (AU) (R W S T),Telugu / తెలుగు (R W S T),Hindi / हिंदी (R W S T)",teaching,,,,
617804,2025 - 2026 [upcoming_batch],Female,26,,,,,"NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT","NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT","Bachelor of Technology (B.Tech),Bachelor of Arts (B.A.)","Ivan kozeduba airforce university,SRM university","Kharkov ukraine,Chennai","Aerospace technology,English literature",Languages,"Excel,Documentation, PPT,MS Office, Copy writing",Arts and Crafts / Actor,"Tamil (R W S T),English (US) (R W S T),Korean (KR) / 한국어 (KR) (R W S T),Hindi / हिंदी (R W S T),Russian / русский язык (R W S T)",,,,,
617791,2025 - 2026 [upcoming_batch],Male,25,Mahalakshmi Industries,Process Engineer,"Managing the Manufacturing process of Industrial cleaning brushes and adhesives, From raw material procumbent till supply of finished goods.",Manufacturing,"2021-04-01,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT","NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT",Bachelor of Technology (B.Tech),Hindustan University,Chennai,Mechatronics,,3D CAD,Emedia / Active on Social Media,"English (UK) (R W S T),Chinese (Traditional) / 繁體中文 (R W S T)",,,,,
617774,2025 - 2026 [upcoming_batch],Male,22,Mushroom cultivation,I started the agribusiness in the ambitious to revolutionise  the use of modern technology in farming and vared high profit crop cultivation in my local area which will transcend the economic structure of my village areas,I my early stage so i handle the workforces desperately,Agriculture,"2022-09-01,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT","NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT",Bachelor of Arts (B.A.),University of Allahabad,Prayagraj,Agribusiness,,Yes,Emedia / Active on Social Media,English (UK) (R W S ),,,,,
617744,2025 - 2026 [upcoming_batch],Male,33,"Genpact India,Outbooks Outsourcing Pvt. Ltd,HDB Financial Services Limited","Process Associate,Sr Executive - Business development and Setup,Sales Executive",,"Accounts,Accounts,Banking and Financial Services","2015-05-25,2018-10-17,2021-10-01,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT","2016-10-29,2019-08-03,2022-02-28,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT",Bachelor of Commerce (B.Com),"School of open learning, Delhi University",Delhi,,,"Excel, Ms word",Emedia / Active on Social Media,"Hindi / हिंदी (R W S T),English (UK) (R W S T)",,,,,
617730,2025 - 2026 [upcoming_batch],Male,27,xAble,"Founder, Trainer","Teaching Java, DSA, Full Stack Web Development, Cyber Security",Teaching,"2022-02-25,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT","2023-06-25,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT",Bachelor of Technology (B.Tech),JNTUA College of Engineering Pulivendula,Kadapa,CSE,,"Microsoft Office 
HTML, CSS, JavaScript, React, Java, Python, CyberSecurity",Engineering / Computer Science Engineer,English (US) (R W S T),,Science,Computer,,
617699,2025 - 2026 [upcoming_batch],Female,22,,,,,"NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT","NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT",Bachelor of Arts (B.A.),Southfield College Darjeeling,Darjeeling,Geography Honours,,Basic computer skills,Emedia / Active on Social Media,English (US) (R W S T),,,,,
617662,2025 - 2026 [upcoming_batch],Female,27,"Nielsen IQ,Markets and Markets Pvt. Ltd.","Senior analyst,Analyst","Writing and reviewing monthly, weekly reports, calling, data analysis, taking part in consumer research. Preparing questionnaire for research etc.,Preparing various research reports, data forecast, industry forecasting, cold calling, data analysis, and handling client queries.","Consulting,Consulting","2022-08-08,2020-02-17,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT","NaT,2022-08-06,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT",Master of Business Administration (M.B.A.),Pune University,Pune,Marketing,,"Well versed with MS office (PPT, word, excel and others)  
Data analysis, managing large amounts of data, working on data portals and more.",Emedia / Active on Social Media,English (UK) (R W S T),,,,,
617657,2025 - 2026 [upcoming_batch],Male,21,,,,,"NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT","NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT",HSC/12,Oxford public school,Ranchi,,,"Basic knowledge of computer programs like MS Word, MS Excel, photoshop, paint",Emedia / Active on Social Media,"Hindi / हिंदी (R W S T),English (UK) (R W S T)",,,,,
617647,2025 - 2026 [upcoming_batch],Male,23,,,,,"NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT","NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT",Bachelor of Business Administration (B.B.A.),"NIMS University Jaipur, Rajasthan India",Jaipur,General,,"Canva, MS Word, To be honest I don't have a lot of computer knowledge just basic things I can do",General / Cook/ Chef,"Hindi / हिंदी (R W S T),English (US) (R W S T)",,,,,
617646,2025 - 2026 [upcoming_batch],Male,29,"Yes bank ltd,ICICI Bank Ltd","Manager,Deputy manager","Affluent Relationship manager, Wealth management of HNI clients,Affluent Relationship manager, Wealth management for HNI Clients","Banking and Financial Services,Banking and Financial Services","2024-09-03,2022-09-15,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT","NaT,2024-05-13,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT","Bachelor of Commerce (B.Com),Diploma","Jiwaji university,Manipal academy of higher education","Gwalior,Bengaluru","Economics,Banking and finance",,PG Diploma in Computer application,IT / Data Analyst,"Hindi / हिंदी (R W S T),English (UK) (R W S T)",,"Sports,Sports","Cricket,Football",,
617639,2025 - 2026 [upcoming_batch],Male,28,"Tele performance,Tech Mahindra","Customer Service Executive,Sales Advisor","Handling technical customer issues on the front end.,Creating sales pitches and pitching them to the customer for new sales and upsells..","BPO and KPO,Sales","2019-10-01,2021-02-01,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT","2020-12-31,2021-06-30,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT",Bachelor of Arts (B.A.),Savitribai Phule Pune University,Pune,Psychology and English,,"Beginner Level Python and Java  
MS Office including Word, Excel, Powerpoint",Basic Computer Skills / Basic Computer (MS Office and Email) Skills,"Tamil (R W S T),English (UK) (R W S T),Hindi / हिंदी (R W S T),Telugu / తెలుగు (R W S T),Kannada (R W S T)",,,,,
617631,2025 - 2026 [upcoming_batch],Male,30,Reletive,Medical,Practice in  pharmacy shop,Medical,"2024-06-25,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT","NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT",Diploma,Dr.Vijay college of pharmacy,Varanasi,pharmacist,,Diploma (D.F.A) Course,Emedia / Active on Social Media,Hindi / हिंदी (R W S T),,,,,
617548,2025 - 2026 [upcoming_batch],Female,47,,,,,"NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT","NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT",Master of Arts (M.A.),Manonmaniam sundaranar,Thirunelvely,No,,No,Emedia / Active on Social Media,Tamil (R W S T),,,,,
617510,2025 - 2026 [upcoming_batch],Male,27,"Beijing PumeiJingshe Culture Co., LTD (now canceled)",Executive designer,"I took charge of graphic designing, exhibition display & guidance, article writing, social media promotion, company culture explanation and some part of creative product designing.",Art,"2016-03-01,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT","2018-03-01,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT",Bachelor of Arts (B.A.),Liaoning Normal University,Dalian,Chinese Ink Painting,,"Photo Shop, Indesign, DaVinci Resolve (basic), Reaper, 11labs (AI dubbing), WPS, etc.",Arts and Crafts / Actor,English (US) (R W S T),,Arts & Crafts,Painting,,
617452,2025 - 2026 [upcoming_batch],Female,46,KIT's college of engineering,Lecturer,,Teaching,"2024-04-20,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT","2024-06-05,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT",Master of Technology (M.Tech),Shivaji university,Kolhapur,Environmental Science,,"MS office, Visual Basics, Basics of C++",Education / English Teacher,English (AU) (R W S T),,,,,
617410,2025 - 2026 [upcoming_batch],Male,33,"Delhi Public School,Many places","Maths faculty,Maths faculty","Class 11th and 12th IIT JEE maths, hostel academic incharge,Board plus IIT JEE maths","Teaching,Teaching","2021-09-27,2013-06-25,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT","NaT,2021-09-26,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT",Bachelor of Technology (B.Tech),"GCET, greater Noida",Greater Noida,Electronic and instrumentation Engineering,,Can manage my work.,Education / Mathematics Teacher,"Hindi / हिंदी (R W S T),English (UK) (R W S T)",Badminton and chess,Sports,Others,,
617331,2025 - 2026 [upcoming_batch],Male,23,,,,,"NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT","NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT",Bachelor of Law (B.L. / LLB),Bennett University,Greater Noida,BBA.LLB,,Well Versed with Microsoft Software,Emedia / Active on Social Media,English (US) (R W S T),,,,,
617305,2025 - 2026 [upcoming_batch],Female,32,Turtle bowl consultant,Hr,,HR and Admin,"2022-07-14,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT","2023-07-12,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT",Master of Business Administration (M.B.A.),S V university,Tirupati,Hr and marketing,,Yes,Emedia / Active on Social Media,English (UK) (R W S T),"Organizing, travelling",Outdoors and Others,Cooking / Baking,,
617181,2025 - 2026 [upcoming_batch],Male,33,"Connecting the dots,Vedantu innovations","Senior physics faculty,Senior subject matter expert ( physics )","Delivering physics and mathematics lectures and making PPT,Making creative power point presentations for Online classes, preparing content for JEE and NEET exams","Teaching,Teaching","2022-06-01,2019-11-01,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT","2023-01-31,2022-04-30,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT","Master of Science (M.Sc),Bachelor of Science (B.Sc)","Bangalore university,MES college, Malleswarum, Bangalore","Bangalore,Bengaluru","Nuclear and Particle physics,PCM",,Ms office,Emedia / Active on Social Media,"Kannada (R W S T),English (US) (R W S T),Hindi / हिंदी (R W S )",trekking,Science,Physics,,
617109,2025 - 2026 [upcoming_batch],Female,30,"Dr. Subhash University,Balaji institute of engineering and technology","Assistant professor,Assistant professor","Class coordinator and in co- curricular activities,Class coordinator, in co- curricular activities and coordinator of human values cell","Teaching,Teaching","2022-08-01,2016-09-02,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT","NaT,2022-07-30,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT","Master of Arts (M.A.),Bachelor of Education (B.Ed.)","H.M. Patel Institute of English Training and Research,Shri. J.K.M. B.ed college","Vallbh Vidyanagar,Junagadh","English language,English",,Basic computer knowledge,"Education / English Teacher,Education / Social Science Teacher,Education / Teacher - Others","Gujarati / ગુજરાતી (R W S T),Hindi / हिंदी (R W S ),English (UK) (R W S T)",,,,,
617105,2025 - 2026 [upcoming_batch],Female,34,"Suzhou Trust Co., Ltd,Guojin Securities Co., Ltd","Project Manager,Financial Consultant","1. Assist the department manager in developing trust project resources, be responsible for project screening, efficiently complete trust product scheme design and project approval.  2. Independently carry out and fully complete the project due diligence report, have a comprehensive and in-depth understanding of the overall situation of the project, assist the company in compliance, risk control, and legal affairs to complete the entire process of project approval;  3. Write legal contract texts, complete trust contract signing;independently complete project mortgage, pledge, notarization and other procedures.  4. As the first responsible person, responsible for the process management and post-project liquidation of the trust project.,Financial Marekt provides personalized Asset Allocation services to high net worth individuals.  2. Maintain and develop existing customers, expand incremental customers, analyze and tap customer needs, and provide comprehensive Asset Allocation plans and services based on customer risk tolerance.  3. Customer Relationship Management and Investor Education to train customers to become rational, professional and healthy investors.","Finance,Finance","2013-07-01,2019-08-01,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT","2019-07-30,2024-07-19,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT","Master of Business Administration (M.B.A.),Bachelor - Other","Tianjin University,Dalian University of Technology",,,,familiar with Office application software,Corporate / Financial & Accounting Manager,English (US) (R W S T),"Hiking, Ping-pong",Sports,Others,,
