Person Id,Computer Skills,Additional Skills,Skillset,Work Experience,Work Designation,Education,Education Specialization,VRF ID,Seva Dept,Job Description,Skills/Keyword,Seva Allocation Accurate or not,Not understood/little confusion/some doubt,Comment
404418,"coding with C++ language (at intermediate level), coding with Python language (at intermediate level), Excel (at intermediate level), SQL (at intermediate level), PowerPoint(at intermediate level)",,Basic Computer Skills / Data Entry skills,,,Bachelor of Technology (B.Tech),Computer Science,Sadhanapada - Ashram Support - 2787,Sadhanapada,Ashram Support volunteers,Soft Skills / Fit for Physical Seva,1,,
392254,"Ms office  
Organisational finance applications",,Corporate / Financial & Accounting Manager,ZF Friedrichshafen,Production Operative,Master - Other,Project management,Sadhanapada - Ashram Support - 2787,Sadhanapada,Ashram Support volunteers,Soft Skills / Fit for Physical Seva,0,,
344079,"Basic Microsoft Office like Word, Excel and PPt. 
Professional Adobe Indesign, Illustrator and Photoshop","Graphic design (adobe design, illustrator, photography); Advanced level; 25 years of experience; His father had printing press and he has looked at all aspects of it for 10 years apart from sales. Currently owns a business with his wife ",Soft Skills / Articulate in communication,The Drawing Board,C0-founder,Diploma,Printing Technology,Ashram Administration - On ground Support - 2291,Ashram Administration,"Cycle Pooling/ Vehicle Database

1. Maintain and track data regarding cycles
2. Do rounds, find cycles that need maintenance and hand over to cycle shop
3. Take regular inventory of cycles
4. Collect data and assign stickers for cycles
5. Support with basic cycle maintenance 
6, Need to physically strong",Soft Skills / Fit for Physical Seva,0,,
404065,No,embroidery business,Soft Skills / Enthusiastic,,,Diploma,"Special education,",Temple - Linga Bhairavi - Maintenance Support - 2632,Temple - Linga Bhairavi,"Temple support such as taking care of daily ritual (kleshanashna kriya and Prahar valikku), general volunteer management, special occasion support (navratri, thaipusum and MSR) and daily temple maintenance and functioning support and facilitating Devi sevakas.",Others / Army,1,,
354196,Ms word,steneography,Arts and Crafts / Singer,,,Other,,Archives - Transcription - 2457,Archives,"1. English - Backlog Transcription, completing Tamil content in English files.
2. Tamil - Proofreading backlog files, completing English content in Tamil files
3. Edited - Proofreading backlog files",Media and Communication / Content Writer,1,,
403729,"Adobe Photoshop, MS Word, MS Excel,",,Soft Skills / Articulate in communication,"The Indian School, Sadiq Nagar, Delhi",PGT-Fine arts,Master of Arts (M.A.),Painting,Isha Home School - Fine Arts Teacher - 2619,Isha Home School,"Craft & design teacher.
Teach fine arts/crafts for children in the age group of 7-15

",Education / Arts and Crafts Teacher,1,,
399411,"Ms word,excel,powerpoint rtc",,Engineering / Mechanial Engineer,Forvia emissions control technologies ltd,Operating engineer,Bachelor of Engineering (B.E.),Mechanical,Sadhanapada - Ashram Support - 2787,Sadhanapada,Ashram Support volunteers,Soft Skills / Fit for Physical Seva,0,,
403377,"Microsoft Word for Script writing, photoshop editing, Digital art in Pro create software etc.",,Arts and Crafts / Film Director,Yellow Frames,"Avinashi Rd, Coimbatore",Bachelor - Other,"Media and Art work, Script writing on stories",Sadhanapada - Ashram Support - 2787,Sadhanapada,Ashram Support volunteers,Soft Skills / Fit for Physical Seva,0,,
306266,Computer enabled,,Soft Skills / Articulate in communication,Philips HealthCare,"Product Owner, Architect",Master of Computer Application (M.C.A.),,Sadhanapada - Ashram Support - 2787,Sadhanapada,Ashram Support volunteers,Soft Skills / Fit for Physical Seva,1,,
341998,"MSExcel, Had done MSCIT computer program",,Soft Skills / Articulate in communicationGeneral / Cook/ Chef,Clearing Corporation Of India Limited,Associate,Bachelor of Science (B.Sc)HSC/12HSC/12,Hospitality Studies,Indian Language Publications - Marathi Translator - 2424,Indian Language Publications,"Translation of Sadhguru videos, articles, and books.",Media and Communication / Copywriter,0,,Might be because of language preference.
403132,No,,Soft Skills / Enthusiastic,,,HSC/12,,Land Maintenance - Farming support - 2649,Land Maintenance,"Vellaingiri Farm - Activities which involving taking care of trees and soil, like preparation and pouring of Jeevamritam and other manures, Spraying the leaves with organic pesticides to get rid of the bugs, Harvesting the fruits, Managing waterlines, plantations, preparing LAB(Lactic Acid Bateria) and spraying, etc",Soft Skills / Fit for Physical Seva,1,,
346219,Excell and autocad,,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,Powermech bhooratnam,Specified site engineer,Bachelor of Technology (B.Tech),Civil engineer,Dhyanalinga - Guiding Visitors - 2368,Dhyanalinga,"Guide people, checking the tokens, asking about their health if they can take dip or not , giving instructions about how to take dip in chandrakund and taking care of the ambience of chandrakund .",Soft Skills / Enthusiastic,0,,
403007,MS Office,Management consultant for public policies,Corporate / Consultant,Ecoforge Advisors,Senior Analyst,Master - Other,Public Policy,Farmer Producer Organisation (FPO) - Agri Marketing - 2488,Farmer Producer Organisation (FPO),"Explore crop wise market, value added products 
Establish market linkages. Business Plan preparation and daily tracking the plan vs actual. ",Corporate / Marketing & Branding Manager,1,,
403005,"Yes I have the Computer Skills. I’m good in SQL, SAS and Python languages. I have good experience in excel as well.",Data analyst - SQL SAS python; Excel,Soft Skills / Articulate in communication,Cognizant Technology Solutions,Programmer Analyst,Bachelor of Technology (B.Tech),Computer science,Sadhanapada - Administrative Activities (Back Office) - 2864,Sadhanapada,Seva.,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,0,,Data analyst
391657,Basic knowledge,,Environment / Agriculture/ Farmer,Megha retreat cottage,HR executive,Master of Business Administration (M.B.A.),Human resources,Sadhanapada - Ashram Support - 2787,Sadhanapada,Ashram Support volunteers,Soft Skills / Fit for Physical Seva,0,,
402902,"Have good computer skill, I work as a Software Developer.",,Soft Skills / Articulate in communication,Tagmango,Software Developer II,Bachelor of Technology (B.Tech),Computer Science,IT - Applications - Developer - 2610,IT / IT - Applications,"Python, Odoo, JavaScript,HTML,CSS,XML,React Native, React, Nodejs, Java, GoLang, Magento, PHP, FullStack",IT / Developer,1,,
315799,Yes,"MD in Radio diagnosis – CT scan, MRI, ultrasound, intervention procedure, biopsy for cancer",Medical / Allopathy Doctor,ESI,Md senior resident,Doctor of Medicine (M.D.),Radiologist,Sadhanapada - Ashram Support - 2787,Sadhanapada,Ashram Support volunteers,Soft Skills / Fit for Physical Seva,0,,have specailized skills and doctor
365283,"I am a digital marketer who is passionate about marketing, Technology and AI.",,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,Freelancer,Digital Marketer,Bachelor of Science (B.Sc),PHYSICS,Emedia Operations - Paid Ads Expert - 2470,E-Media Panel / Emedia Operations,"Experience with running paid ads and worked on client side or digital agency. Help support the paid team in planning & executing paid ad for various Ad campaigns on Google, Facebook, Instagram, YouTube, LinkedIn etc.","Emedia / Pay Per Click (PPC), Google/ Facebook Ads",1,,
308357,Good,,Soft Skills / Articulate in communication,Proyuga,"CTO, Game Designer",Bachelor - Other,Computer Science,IT - Applications - Product Manager - 2645,IT / IT - Applications,"Product Manager, Entrepreneur, Project Manager ",IT / Product Manager,1,,
428257,"Well versed, Microsoft Office, Office 365.",,IT / Developer,Tata Consultancy Services,Program Manager Client side,Bachelor of Engineering (B.E.),Computers,Sadhanapada - Administrative Activities (Back Office) - 2864,Sadhanapada,Seva.,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,0,,
314455,"Handy and Fast Learner with New Tools and Apps, 
 
Know No Code/ Low Code Development.","worked for an educational startup for 2 years; Got overall view of many things, Marketing, social media management, copywriting sales, mentoring JEE students as he was top 98 percentile in JEE entrance exam; Mentored 300 students on how they can manage studies;  ",Soft Skills / Articulate in communication,Freelance,Freelance,,,Sadhanapada - Coordinating Activities - 2702,Sadhanapada,"Health - Coordinating - Coordinating between teams, Time management, Communication skills, Creating & managing WhatsApp groups, Overlooking projects, Basic planning",Soft Skills / Articulate in communication,1,,
384320,"I am from IT sector.  Basic computer, software development, technical architect, testing",,IT / Developer - back end,LTTS,Specialist,Bachelor of Engineering (B.E.),Computer science,IT - Applications - Developer - 2610,IT / IT - Applications,"Python, Odoo, JavaScript,HTML,CSS,XML,React Native, React, Nodejs, Java, GoLang, Magento, PHP, FullStack",IT / Developer,1,,
402521,"Intermediate. 
Basic python  
Video editing  
VFX",,Arts and Crafts / Digital Animator,B2G Creative studios,Lighting Artist,Bachelor - Other,AAIP VFX,Emedia Operations - Media Operations - 2528,E-Media Panel / Emedia Operations,"Report generating, presentation making, database maintenance, meeting arrangement, project admin and follow ups ",Emedia / Active on Social Media,1,,
307919,"Basic works on system ,not much experienced",,Soft Skills / Enthusiastic,,,Bachelor of Arts (B.A.),Sanskrit,Akshaya - Akshaya Volunteers - 2735,Akshaya,To support in multiple areas in Akshaya.,Soft Skills / Fit for Physical Seva,1,,
392830,Full stack developer,,IT / Developer - full stack,Accenture,Custom software analyst,Bachelor of Technology (B.Tech),ECE,Sadhanapada - Ashram Support - 2787,Sadhanapada,Ashram Support volunteers,Soft Skills / Fit for Physical Seva,0,,
378402,Not much,Modelling ,Soft Skills / Articulate in communication,Fashion Industry,Model,Other,,Sadhanapada - Ashram Support - 2787,Sadhanapada,Ashram Support volunteers,Soft Skills / Fit for Physical Seva,1,,
402151,"MS office suite, Power BI",,Soft Skills / Articulate in communication,Tata consultancy services,Business Analyst,Master of Business Administration (M.B.A.),Finance Marketing,IT - Applications - Business Analyst (BA) - 2613,IT / IT - Applications,"Business Analyst, Scrum Master, Systems Analyst, Project Manager",IT / Business Analyst,1,,
402008,"Good knowledge in MS Office, Good typing skills",,Soft Skills / Articulate in communication,,,HSC/12,,Laundry - Administrative Activities (Back Office) - 2594,Laundry,"back office, supervising/monitoring and day to day activities ",Basic Computer Skills / Basic Computer (MS Office and Email) Skills,1,,
401993,Yes,She has worked as a reported in ABP news regional network for  5 years,Emedia / Active on Social Media,Abp news Network,Reporter,Master - Other,Journalism And Mass communication,Sadhanapada - Ashram Support - 2787,Sadhanapada,Ashram Support volunteers,Soft Skills / Fit for Physical Seva,0,,
386441,"I don't have any special computer skills,like working with software or designing","Dropped out of BBA commerce after a year; Did Photography in college for models, sports events, guest events; Can operate drone; Currently is doing health and wellness coach program; ",Soft Skills / Articulate in communication,,,Postgraduate,,Akshaya - Akshaya Volunteers - 2735,Akshaya,To support in multiple areas in Akshaya.,Soft Skills / Fit for Physical Seva,1,,photograher
329282,Computer science,"Software Engineer Software Testing.
",Basic Computer Skills / Basic Computer (MS Office and Email) Skills,HCL Technologies,Software Engineer,Bachelor of Engineering (B.E.),Information Science,IT - Applications - Test Engineer - 2611,IT / IT - Applications,"QA, Manual Testing, SDET, Automation Testing, Celenium, TOSCA",IT / Tester/ Quality Analyst,1,,
401923,"Basic like Excel, MsWord",,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,Access Healthcare,Senior Account Analyst,Diploma,Graphic,Ashram Administration - Customer Support Representatives -  2282,Ashram Administration,"  1.  Answering inbound calls, and providing information as per queries.
  2. Evaluate the caller queries/problems/complaints to respond to their needs appropriately and guide them to connect with the relevant department/Service/Program.
  3. Re-route calls/slack to co-volunteer to assist callers of different langauge e.g. Tamil, Hindi.
  4. If there is an issue which is repeatedly reported by one or more caller escalate it to Call Center In-charge to take action.
  5. Pro-actively call back to the caller, to inform to resolve their queries (whenever needed)   ",Soft Skills / Articulate in communication,1,,
401921,Yes,,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,Elmech engineering and construction,Mechanical Engineer,Bachelor of Engineering (B.E.),Mechanical engineering,Land Maintenance - Farming support - 2659,Land Maintenance,Tree Care - Watering/Weeding/Mulching,Environment / Agriculture/ Farmer,0,,
401916,Basics of computer,Teaches 11th and 12th Standard students,Education / Physics Teacher,Private collegr,Guest lecturer,Master of Science (M.Sc),Physics,Gramotsavam - Customer Support Representatives - 2380,Outreach / Action For Rural Rejuvenation / Gramotsavam,Gramotsavam Stall,Soft Skills / Articulate in communication,1,,
380268,Grafics designar,"Works as a merchant to sell items to buyers.
Also has some graphic designing skills.",Corporate / Sales Executive,,,,,Temple - Linga Bhairavi - Rituals - 2633,Temple - Linga Bhairavi,"daily ritual assistance (12 ritual per day), abishekam preparation (3 times a day ) and store activity ",Soft Skills / Articulate in communication,1,,
357888,"Workday consultant, excel",ECE. ,Engineering / Engineering - Others,deloitte,Consultant,Bachelor of Engineering (B.E.),ECE- electronics,Sadhanapada - Ashram Support - 2787,Sadhanapada,Ashram Support volunteers,Soft Skills / Fit for Physical Seva,0,,
311417,Diploma in rdbms,"Vice president in SBIL - 
Regional Training Head",Corporate / Financial & Accounting Manager,Sbilife insurance company ltd,Vice President,Bachelor of Arts (B.A.),English literature,Learning & Development - Session Facilitator - 2662,Learning & Development,"1. Conduting sessions on soft skills.
2. Teaching or coaching experience required
3. Ability to visualize and conduct the designs. ",Media and Communication / Soft Skills Trainer,1,,
330391,Yes. I Have .I am a software Engineer.,,IT / Data Analyst,deloitte,Assistant Data Engineer,Master of Technology (M.Tech),instrumentation and control system,Sadhanapada - Ashram Support - 2787,Sadhanapada,Ashram Support volunteers,Soft Skills / Fit for Physical Seva,0,,
351000,Basic,General psychology degree.,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,,,Bachelor of Arts (B.A.),Psychology,Akshaya - Akshaya Volunteers - 2735,Akshaya,To support in multiple areas in Akshaya.,Soft Skills / Fit for Physical Seva,1,,
350110,I have decent experience in IT.,,Soft Skills / Articulate in communication,Wns,TSO,Bachelor of Computer Application (B.C.A.),Computers,Gramotsavam - Coordinating Activities - 2377,Outreach / Action For Rural Rejuvenation / Gramotsavam,Communication and Basic MS office  skills,Soft Skills / Articulate in communication,1,,
366630,"SQL, MS office",,Soft Skills / Articulate in communication,JPMCHASE,Analyst,Master of Science (M.Sc),Financial Economics,Sadhanapada - Video calls - Interviews - 2699,Sadhanapada,Indian Applications - To collect or verify detailed information on a video call. They should be open to talkin for an hour and be able to build rapport to collect proper information. Willing to take 4 video calls per day.,Soft Skills / Articulate in communication,1,,
349171,Good,"martial arts, judo-karate, mixed martial arts",Soft Skills / Articulate in communication,Bank of America,Manager,Bachelor of Engineering (B.E.),Electronics and Telecommunications,Residents Coordination Department - Administrative Activities (Back Office) - 2844,Residents Coordination Department,"Nature of our activity involves sensitive information. We need someone with more maturity, willing and aspiring for Poornanga.",Soft Skills / Soft-spoken and cordial,1,,
401697,Basics,Nil,Soft Skills / Soft-spoken and cordial,,,Bachelor of Science (B.Sc),Maths physics chemistry,Akshaya - Akshaya Volunteers - 2735,Akshaya,To support in multiple areas in Akshaya.,Soft Skills / Fit for Physical Seva,1,,
314750,"HTML, CSS, PYTHON beginner, MS OFFICE",,Accounting / Basic Accountancy,,,Master of Business Administration (M.B.A.),Finance and marketing,Volunteers Coordination Department - Recruitment Officer - 2658,Volunteers Coordination Department,"Screening of Poornanga Applications, able to handle projects and coordinating with teams",Corporate / HR Manager,1,,
348709,"I can do all the general things in a computer like Excel, ms office, brousing internet and all these things. To get an idea, I am filling this form with my laptop. In a coding and editing level, I am a little beginner right now.",,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,Webocular,Marketing head,,,Pooja Materials - Supervising Activities - 2780,Pooja Materials,Department store Activities,Accounting / Basic Accountancy,1,,
351830,"Paint 
Word 
Excel 
Some what ppt work",,Construction & Fabrication / Civil Engineer,"Town Planning and Valuation Department, Gandhinagar, Gujarat",Planning Assistant,Bachelor of Technology (B.Tech),Civil Engineering,Construction - LSP - Civil Estimators - 2458,Construction - LSP,"	Should be able to supervise Site activities
Should be able to estimate material needed for civil or steel structures",Construction & Fabrication / Construction - Others,1,,
401573,"Knowledge on Networking,  
Strong Cybersecurity knowledge, 
Worked on Windows, Mac & Linux",,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,,,Other,"Mathematics, Physics & Chemistry",Sadhanapada - Dining Support - 2720,Sadhanapada,"Prana Danam - Prana Danam core team - Support for dining activities including Serving and Coordination. taking small sessions, meetings, preferably satsang ishangas",Soft Skills / Fit for Physical Seva,0,,
401571,,,Soft Skills / Articulate in communication,,,HSC/12,,Dhyanalinga - Guiding Visitors -  2372,Dhyanalinga,"Guiding devotees with bullock cart services, providing tokens, checking them, guiding devotees to the bull cart, forming lines, and ensuring all devotees are cared for and the process runs smoothly,",Soft Skills / Articulate in communication,1,,
400161,General and mainstream operation of computers.,,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,Family owned multiple enterprises,Started from middle rung supervision and management and oversaw planning and execution of multiple construction and real estate projects.Also was involved in moneylending and finance.,HSC/12,Biology physics chemistry,IPC - Administrative Activities (Back Office) - 2875,IPC,"IPC MSR Back Office -

3 volunteers  for  ""1. Fixing and Participating in calls and taking meeting notes 
2. Following up on the action items with the verticals coord through calls""

1 volunteer for ""Enquiries handling & converting as registration for IE/Hathayoga/Free Yoga""",Basic Computer Skills / Data Entry skills,1,,
401544,No,,Corporate / Small Business Owner (studio owners/ shop owners/ traders),,,Bachelor of Arts (B.A.),Cooperation,IPC - Tamil Nadu - Live Streaming Support - 2751,Isha Programs and Communications / IPC - Tamil Nadu,"Regularly, programs, events, and webinars are streamed from the Ashram for TNK regions. - Booking Halls - Facilitating Materials & Equipment requirements for Online Webinars\Programs. - Live Stream Production Setup and Streaming Support - Creating Technical Setup documents and training contents",IT / IT - Others,0,1,IT skills are not mentioned.
311074,Good,,Soft Skills / Articulate in communication,Alinea Healthcare Pvt Ltd,Sr Manager - IT,Postgraduate,Client Relationship Management,IT - Applications - ERP Consultant - 2643,IT / IT - Applications,"ERP Consultant, Salesforce, SAP, Odoo",IT / ERP Consultant,1,,
401495,"1) Using MS office products like Excel, Word, Outlook, Power Point, One Note and their relevant Google products(wherever applicable) . These products are ""usually"" used for the purpose mentioned below: 
  a) Excel-  Work related to the areas including but not limited to Accounting, Taxation, Audit and Financial Planning. 
  b) Word- Work related to areas including but not limited to Drafting Deeds, Agreements, Letter of response to tax authorities with  
       relevant study of Indian Laws. 
   c) Power Point- Outputs involve content including but not Limited to Marketing, Accounting and taxation related presentations  
       which require ""intermediate"" usage to the application. 
   d) Outlook & G-Mail- Outlook mailing service used for Professional E-Mailing involving usage of all major utilities of the  
        application, G-mail Mailing service is used for Personal purpose involving basic to intermediate usage of the application. 
   e) One Note- Usage restricted to creation of data pool. 
2) Typing Speed- Not measured | 3.8/5 (Personal Measure_ No Parameters). 
3) General Computer Knowledge- Understanding of usage of ports, Basic Configuration, Basic error resolution, day-to-day handy t  
     tricks | 4/5 (Personal Measure_ No Parameters). 
4) Familiarity with OS- From Windows 7 till Windows 11 | 4.5/5 (Personal Measure_ No parameters).  
5) Adaptability to new software, interface- 4.5/5 (Personal Measure_ No Parameters). 
6) Overall computer skills- 4.5/5(Personal Measure_ No Parameters).",,Soft Skills / Articulate in communication,Rahul R Gandhi & Associates Chartered Accountants,Assistant Manager,Bachelor of Commerce (B.Com),,Project Finance - Accountant - 2315,Finance / Project Finance,Preparing & Analysing the reports,Soft Skills / Soft-spoken and cordial,1,,
401423,"HTML5, CSS3, JavaScript, ReactJS, NEXTJS and many more",,Soft Skills / Articulate in communication,IBM,Senior Application Developer,Bachelor of Engineering (B.E.),Computer Science,IT - Applications - Product Manager - 2645,IT / IT - Applications,"Product Manager, Entrepreneur, Project Manager ",IT / Product Manager,1,,
401404,"Ms word, Excel, power point.",,Soft Skills / Articulate in communication,HLL life care,Officer 5,Master of Arts (M.A.),Hindi,Temple - Linga Bhairavi - Rituals - 2633,Temple - Linga Bhairavi,"daily ritual assistance (12 ritual per day), abishekam preparation (3 times a day ) and store activity ",Soft Skills / Articulate in communication,1,,
401345,I know basics and working on ms excel or ms word,He manages finances and accounts in his work place,Environment / Agriculture/ Farmer,Kamdhenu hitkari manch,Milk collection center  manager,Bachelor of Arts (B.A.),,Isha Goushala - Farming support - 2346,Isha Goushala,"watering, gardening and maintenance ",Environment / Agriculture/ Farmer,1,,
401325,Yes...,,Environment / Agriculture/ Farmer,Infosys BPM,Assistant Process Manager,Bachelor - Other,Human Resource,Sadhanapada - Ashram Support - 2787,Sadhanapada,Ashram Support volunteers,Soft Skills / Fit for Physical Seva,0,,
401272,"SQL, C#",dot net and SQL developer,IT / IT - Others,NTT Data,Software Development Specialist,Master of Technology (M.Tech),Scientific Computation,Sadhanapada - Ashram Support - 2787,Sadhanapada,Ashram Support volunteers,Soft Skills / Fit for Physical Seva,0,,
401261,"Basic computer skills, MS office.",,Emedia / Active on Social Media,,,Bachelor of Commerce (B.Com),Computer Applications,Indian Language Publications - Telugu Translator - 2421,Indian Language Publications,"Translation of Sadhguru videos, articles, and books.",Media and Communication / Copywriter,1,,
309524,"Most of the basic software skills I know, like powerpoint, MS excel, word, Photoshop etc.",Adobe premium pro,Emedia / Active on Social Media,Nexusplus Consultants,Architect,Bachelor of Architecture (B.Arch),Interior Design,Emedia Operations - Content Creator - 2541,E-Media Panel / Emedia Operations,Volunteers who are content creators on Instagram and/or Tiktok. They are comfortable with creating short form content (Reels). They are familiar with current social media trends on these platforms and can create trending content. ,Emedia / Active on Social Media,0,1,Architect
401181,"Yes, I have a good understanding of computer basics.",Digital and web designing learned ,Emedia / Digital Marketing,Anushank polymers Pvt Ltd,Manager,Bachelor of Engineering (B.E.),Mechanical engineering,Indian Language Publications - Gujarati Translator - 2425,Indian Language Publications,"Translation of Sadhguru videos, articles, and books.",Media and Communication / Copywriter,0,,Might be because language requirement.
401179,"Sql, pyspark, all microsoft offices",,Basic Computer Skills / Data Entry skills,Persistent System Limited,Data engineer,Bachelor of Engineering (B.E.),Electronics and communication,Cauvery Calling - Data Analyst - 2443,Rally for Rivers / Cauvery Calling,"Support to the MIS team, part of the Cauvery Calling Department in Isha Yoga Center, Coimbatore, in reviewing operational processes, files and reports of all verticals in the Project.  Preferably with 0-2 Years of work experience in accounting/data management / MIS & Reporting / Data Analytics",Basic Computer Skills / Basic Computer (MS Office and Email) Skills,1,,
401122,Basic ms office,,Soft Skills / Articulate in communication,Stronglite composites,Executive- projects & services,Diploma,,Construction - LSP - Site Supervisor - 2461,Construction - LSP,Construction Site Supervising,Construction & Fabrication / Construction - Others,1,,
401051,"Basic computer skills, spreadsheets, email communication, Social media, Digital Marketing",I mention 'isha volunteering' below because she is associated with FSD and IE teams for promotions of sadhguru's offerings on her Instagram page.,Emedia / Active on Social Media,Leading Edge Info Aolutions Pvt Ltd,Online reputation management and Serach Engine Optimization Executive,Bachelor of Technology (B.Tech),,Outside Tamil Nadu and Global media - Content Writer - Media - 2292,IYC Communications / Outside Tamil Nadu and Global media,"The volunteer will be responsible for creating positive content related to the various activities of Isha and Sadhguru, to reach a wide audience
•	Identifying narratives from Isha activities that would be relevant to share with wider audience
•	Write articles, press releases and blogs that can be published inmedia houses.


Desired Experience/skills:

Experience in  media – print/digital/Television (reporters, press release writers, journalist, feature article writers)

Desired Education qualification: Mass communication, visual communication, advertising, Journalism
",Media and Communication / Content Writer,1,,
317942,"Ms word, Ms excel, power point,tally",,Soft Skills / Articulate in communication,,,Bachelor of Commerce (B.Com),,Dhyanalinga - Guiding Visitors - 2370,Dhyanalinga," guiding vechile's in parking, giving ticket, maintaining sanity of place from malaivasal to adiyogi",Soft Skills / Articulate in communication,1,,
401001,yes good in computer skills to complete tasks efficiently.,chip engineer - semi conductor,Engineering / Electrical Engineer,Digicomm semiconductors pvt Lltd,senior physical design engineer,Bachelor of Engineering (B.E.),electronics and communication,Sadhanapada - Ashram Support - 2787,Sadhanapada,Ashram Support volunteers,Soft Skills / Fit for Physical Seva,0,,
400997,yes i have video editing skills and i have experience of content creation and blogging,"Instagram Page- Legends of India. 1lakh 15k followers.
Creates podcasts, short video content and long videos as well. Adobe Premium Pro, Cap cut, Davinci resolve and photoshop",Emedia / Active on Social Media,,,,,IPC - Content Manager - 2691,IPC,Central (Promotions)This volunteer can be IPC campaign managers. He will liason with Emedia to monitor and analyze the campaign. He should have digital marketing background to be effective in the activity. he should be able to help us creating content for organic promotions,Emedia / Digital Marketing,1,,
352215,Just Operating skills. Microsoft word and excel to some extent,,Education / Mathematics Teacher,Nano IIT and NEET Academy,Mathematics Teacher,Bachelor of Technology (B.Tech),Environmental Science,Isha Samskriti - Maths Teacher - 2477,Isha Samskriti,Able to teach Maths to junior and middle school children.,Education / Mathematics Teacher,1,,
400897,"Well I don't know programming and coding, but I have work experience of computer, in the sense, did project reports and other works during Engineering, so know basics in MS Word, Power Point and other General basic things. If once given instructions to do a particular work,  can do it hassle free.",,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,,,Bachelor of Engineering (B.E.),Mechanical engineering,Sadhanapada - Stay Area Support - 2719,Sadhanapada,Accommodation - Stay Area Support ,Soft Skills / Enthusiastic,1,,
400884,Exel,"Digital Marketing,
She knows the AutoCad ",Engineering / Computer Science Engineer,Accenture,Trust and safety associate,Bachelor - Other,Computer science engineering,Ashram Administration - Front Office Activities - 2283,Ashram Administration,"Turn on the Display TVs 
2.Turn on the Chants at WP Audio system.
3.Check-in Formalities for  Visitors, Volunteers, Residents , Cottage & PR Guests , Vendors using CICO Tool - Updation of ID  and Address Proofs along with their  Photograph and issue appropriate wristband for each individual. 
4.Creating of Wristband Barcodes and QR Codes ,and attaching it to the Appropriate wristbands as per requests of Helpdesk Coordinating Volunteers .
5.Coordinate between Overseas Coordination & Cottage reception Teams in case of any errors during checkin of Guests and Volunteers.
6.Supervise Check In for Mega Events and Programs.
7.Raising requests as per situation for Maintenance and Service purposes at WP.
8.Coordinating with the concerned person until the raised request is closed or canceled.
9.Replying to the Admin requests through Welcomepoint Email ID .Forwarding certain requirements to appropriate Volunteers.
10.Maintenance , updation and review of records and databases of Volunteers and Guests. 
11.Issue of Appropriate Wristbands as per the requirement of the request of Ashram Program Team
12.Preparation of Volunteers and Guest ID Cards ,issue and collection of the same.{LTV,  SP,  Daily Volunteer}
13.Updation of Notice boards at Bhiksha Hall ,WP, Cottages ,Volunteer Dorms
14.Print Outs / Xerox for Ashramites and Visitors –[Documents to be printed has to be sent to – welcomepoint@ishafoundation.org ]
15.Provision of Laptops , Webcams , Scanners - as per requests of Program Team or Organizing Volunteers.
16.Provision of WIfi on Coordinator Approval to OCO Guests in urgent need
17.Provision of print outs and printing LTV/FTV id cards
18.Maintenance of WP accessories and amenities {Cupboards , Laptops, Desktops & Stationery]
19.Guiding New joiners , interview attendees to appropriate Departments and Stay areas along with Help desk volunteers.
20.Maintain the cleanliness of Welcome Point",Soft Skills / Articulate in communication,1,,
400867,Basics,,Soft Skills / Articulate in communication,Unique Truth,Counselor,Bachelor of Education (B.Ed.),Physics & Mathemetics,NP (Back Office) - Accountant - 2590,Isha Programs and Communications / NP (Back Office),Handling of accounts with various region account in-charges and ashram finance team,Accounting / Basic Accountancy,0,1,Skills don't match with the description.
400786,Very good in computers,Vice President( Standard Charter Chennai),Soft Skills / Articulate in communication,Standard Chartered Bank,Vice President,Other,Chartered Accountant,Business Finance - Chartered Accountant - 2330,Business Finance,"Auditing, Accounting and taxation",Accounting / Auditor,1,,
400767,"Microsoft Excel, Microsoft Word, Office Email ID's Handling, Website Management",Basics of web development . She works with CSIR Central Institute Of Mining And Fuel Research Bilaspur Chhattisgarh which deals with research on coal and other mine related minerals.,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,CSIR Central Institute Of Mining And Fuel Research Bilaspur Chhattisgarh,Project Assistant,SSLC/10,,Ashram Administration - Customer Support Representatives -  2282,Ashram Administration,"  1.  Answering inbound calls, and providing information as per queries.
  2. Evaluate the caller queries/problems/complaints to respond to their needs appropriately and guide them to connect with the relevant department/Service/Program.
  3. Re-route calls/slack to co-volunteer to assist callers of different langauge e.g. Tamil, Hindi.
  4. If there is an issue which is repeatedly reported by one or more caller escalate it to Call Center In-charge to take action.
  5. Pro-actively call back to the caller, to inform to resolve their queries (whenever needed)   ",Soft Skills / Articulate in communication,1,,
