Job Title,Job Title Generic Description,Request Name,Request Name Description,Department,# of Volunteers,Gender Preference,Skills/Keywords,Add'l Skills,Languages
Artificial Intelligence (AI) Enthusiast,"Analyzes data, builds, and trains AI/ML models, and conducts research to stay updated on AI advancements. Explores use cases across domains, develops AI-driven tools, and prototypes creative solutions. Supports process automation, workflow optimization, and cross-functional collaboration. Utilizes coding, scripting, and market expertise to integrate AI solutions effectively into operations and projects.",Sadhanapada - Artificial Intelligence (AI) Enthusiast - 2785,He will be doing research on different tools & different use cases for our sub-teams to see where AI products can help solve our problems,Sadhanapada,1,Any,IT / Artificial Intelligence/ Machine Learning,,
Artificial Intelligence (AI) Enthusiast,"Analyzes data, builds, and trains AI/ML models, and conducts research to stay updated on AI advancements. Explores use cases across domains, develops AI-driven tools, and prototypes creative solutions. Supports process automation, workflow optimization, and cross-functional collaboration. Utilizes coding, scripting, and market expertise to integrate AI solutions effectively into operations and projects.",IT - Infrastructure - Artificial Intelligence (AI) Enthusiast - 2800,"Coding experience on Powershell, bash and Python scripting. Creating and scheduling batch files. Knowledge on Active Directory (AD), Servers, Networking and Identity Access Management (IAM).",IT / IT - Infrastructure,1,Any,IT / Artificial Intelligence/ Machine Learning,IT / Developer,
Ashram Support,"Assists in the daily operations and upkeep of the ashram, ensuring a clean, organized, and harmonious environment. Supports events, coordinates with residents and visitors, and helps maintain facilities. Contributes to fostering a welcoming and peaceful atmosphere aligned with the ashram's values and activities.",Sadhanapada - Ashram Support - 2787,Ashram Support volunteers,Sadhanapada,100,Any,Soft Skills / Fit for Physical Seva,,
Ashram Tour Guide,"Enhances guest experiences by conducting orientation sessions and guided tours of the ashram and its facilities. Ensures engaging and informative interactions, fostering a deeper understanding of the ashram's values and activities. Demonstrates excellent communication, coordination, enthusiasm, and organizational skills to create a welcoming and memorable visit for all guests.",Ashram Administration - Ashram Tour Guide - 2832,"Enhancement of guest experience.

 ORIENTATION to be conducted in batches and GUIDED TOUR of cottage guests regularly

QUALITIES
Good communication,Coordination ,Enthusiastic,
Engaging..
Communicative. ...
Outgoing. ...
Funny. ...
Decisive. ...
Organised. ...
Punctual.",Ashram Administration,3,Any,Soft Skills / Articulate in communication,Soft Skills / Strong Interpersonal skills (Coordinator),English (UK) Tamil Hindi / हिंदी
Assamese Translator,"Translates written and spoken content to and from Assamese, including articles, video scripts, and audio materials, ensuring accuracy and cultural relevance. Provides clear, contextually appropriate translations across various mediums to support effective communication and understanding for diverse audiences.",Indian Language Publications - Assamese Translator - 2426,"Translation of Sadhguru videos, articles, and books.",Indian Language Publications,2,Any,Media and Communication / Copywriter,,English (UK) Assamese
Asset and Inventory management,"Oversees inventory levels to align with project and maintenance needs. Optimizes processes such as ordering, receiving, and storage to ensure efficient stock management. Supports procurement activities, maintains accurate records, and facilitates smooth operations by coordinating with vendors and handling incoming materials. Strong communication and software skills are essential.",Electrical - Asset and Inventory management - 2311,"1. Managing inventory levels to meet project and maintenance requirements.
2. Optimizing inventory processes, including ordering, receiving, and storage.",Electrical,2,Male,General / Inventory,Soft Skills / Fit for Physical Seva,English (US) Tamil
Asset and Inventory management,"Oversees inventory levels to align with project and maintenance needs. Optimizes processes such as ordering, receiving, and storage to ensure efficient stock management. Supports procurement activities, maintains accurate records, and facilitates smooth operations by coordinating with vendors and handling incoming materials. Strong communication and software skills are essential.",Electrical - Asset and Inventory management - 2312,"1. Managing inventory levels to meet project and maintenance requirements.
2. Optimizing inventory processes, including ordering, receiving, and storage.",Electrical,1,Male,General / Inventory,Soft Skills / Fit for Physical Seva,English (US) Tamil
Asset and Inventory management,"Oversees inventory levels to align with project and maintenance needs. Optimizes processes such as ordering, receiving, and storage to ensure efficient stock management. Supports procurement activities, maintains accurate records, and facilitates smooth operations by coordinating with vendors and handling incoming materials. Strong communication and software skills are essential.",Bangalore Temple - Asset and Inventory management - 2813,Amenities - Purchase and Inventory Coordinator,Bangalore Temple,1,Any,General / Inventory,,
Asset and Inventory management,"Oversees inventory levels to align with project and maintenance needs. Optimizes processes such as ordering, receiving, and storage to ensure efficient stock management. Supports procurement activities, maintains accurate records, and facilitates smooth operations by coordinating with vendors and handling incoming materials. Strong communication and software skills are essential.",Bangalore Temple - Asset and Inventory management - 2827,"Purchases_BLR - 

Supporting in bringing the materials from the vendor place, can converse with the vendor in a humble manner so good rapport can be developed between vendor & ishaGood communication, Enthusiastic in field work

Purchase store handling -receiving of purchased materials, sorting & issuing to the user department

Should have handled stores, but it is not compulsory

To support in purchases on behalf of our SSB departments by handling new product / variant creation, obtaining purpose code, support in timely raising of PRs

Good communication, computer & software/app handling",Bangalore Temple,3,Any,General / Inventory,,English (US) Kannada
Asset and Inventory management,"Oversees inventory levels to align with project and maintenance needs. Optimizes processes such as ordering, receiving, and storage to ensure efficient stock management. Supports procurement activities, maintains accurate records, and facilitates smooth operations by coordinating with vendors and handling incoming materials. Strong communication and software skills are essential.",Isha Design - Asset and Inventory management - 2845,Temple Production - The Volunteer would take care of a Store & support with Sadhguru Sannidhi maintainance of the Ashram.,Isha Design,2,Any,General / Inventory,Basic Computer Skills / Basic Computer (MS Office and Email) Skills Basic Computer Skills / Data Entry skills,
Asset and Inventory management,"Oversees inventory levels to align with project and maintenance needs. Optimizes processes such as ordering, receiving, and storage to ensure efficient stock management. Supports procurement activities, maintains accurate records, and facilitates smooth operations by coordinating with vendors and handling incoming materials. Strong communication and software skills are essential.",Bangalore Temple - Asset and Inventory management - 2850,"Electrical Store - 1. Store Data Entry
2. Managing inventory levels to meet project and maintenance requirements. 
3. Optimizing inventory processes, including ordering, receiving, and storage.",Bangalore Temple,1,Any,General / Inventory,,
Audio calls - Interviews,"Conducts audio interviews to assess candidates' qualifications and suitability for roles. Prepares and asks relevant questions, listens actively, and records responses for evaluation. Maintains a professional and friendly demeanor to ensure a positive interview experience and accurately documents interview outcomes.",Isha Health Solutions - Audio calls - Interviews - 2400,"To call patients for the treatment review, program participants for feedback",Isha Health Solutions,3,Any,Media and Communication / BPO,,
Audio calls - Interviews,"Conducts audio interviews to assess candidates' qualifications and suitability for roles. Prepares and asks relevant questions, listens actively, and records responses for evaluation. Maintains a professional and friendly demeanor to ensure a positive interview experience and accurately documents interview outcomes.",Sadhanapada - Audio calls - Interviews - 2736,Indian Applications - To collect or verify detailed information on an audio call. They should be open to talking at length and not be of a shy demeanor.,Sadhanapada,6,Any,Soft Skills / Articulate in communication,Media and Communication / Communication Trainer Soft Skills / Enthusiastic Soft Skills / Soft-spoken and cordial,
Audio calls - Interviews,"Conducts audio interviews to assess candidates' qualifications and suitability for roles. Prepares and asks relevant questions, listens actively, and records responses for evaluation. Maintains a professional and friendly demeanor to ensure a positive interview experience and accurately documents interview outcomes.",Sadhanapada - Audio calls - Interviews - 2737,Indian Applications - Satsang ishanga to attend to practice corrections of applicants on a regular basis,Sadhanapada,2,Any,Soft Skills / Articulate in communication Soft Skills / Enthusiastic Soft Skills / Soft-spoken and cordial Soft Skills / Strong Interpersonal skills (Coordinator),,
Bengali Translator,"Translates written and spoken content to and from Bengali, including articles, video scripts, and audio materials, ensuring accuracy and cultural appropriateness. Provides clear and contextually relevant translations for various mediums to support effective communication and understanding across audiences.",Indian Language Publications - Bengali Translator - 2422,"Translation of Sadhguru videos, articles, and books.",Indian Language Publications,3,Any,Media and Communication / Copywriter,,English (UK) Bengali / বাংলা
Biology Teacher,"Plans and delivers lessons aligned with the curriculum, using a range of teaching methods to support student learning. Conducts lab activities to develop practical skills and deepen understanding. Assesses student progress through various evaluations, provides feedback, and maintains accurate records. Integrates technology to enhance learning and participates in professional development.",Senior School - IHS - Biology Teacher - 2606,"""* Plan lessons and develop curricula aligned to the prescribed syllabus
* Plan and conduct laboratory experiments and investigations to help students develop experimental skills, understand scientific principles, and apply theoretical concepts in practical contexts.
* Provide clear explanations, examples, and demonstrations to help students grasp complex biological concepts and principles and make connections between theory and real-world applications.
* Differentiate instruction to accommodate the diverse learning needs, interests, and abilities of students, including those with special needs
* Utilize technology and digital resources, such as simulations, interactive multimedia, and online resources, to enhance instruction, engage students, and facilitate learning.
* Assess student learning and progress through a variety of formative and summative assessments, including quizzes, tests, laboratory reports, projects, and performance tasks.
* Provide timely and constructive feedback to students to help them understand their strengths and areas for improvement and guide their academic growth and development.
* Maintain accurate, thorough, and diversified records of student progress
* Participate in team meetings, workshops, and other learning opportunities
* Perform miscellaneous job-related duties as assigned",Isha Home School / Senior School - IHS,2,Any,Education / Biology Teacher,,
Business Analyst (BA),"Analyzes business processes and data to identify areas for improvement and support decision-making. Gathers and documents requirements, creates detailed reports, and collaborates with stakeholders to design effective solutions. Assesses project performance and ensures alignment with business goals, using data-driven insights to optimize outcomes.",Accommodations Residential - Business Analyst (BA) - 2403,Need to test the current software and Fulfill Department IT requirements.,Accommodations Residential,1,Male,IT / Business Analyst,IT / Business Analyst IT / Developer IT / UX Designer,
Business Analyst (BA),"Analyzes business processes and data to identify areas for improvement and support decision-making. Gathers and documents requirements, creates detailed reports, and collaborates with stakeholders to design effective solutions. Assesses project performance and ensures alignment with business goals, using data-driven insights to optimize outcomes.",Emedia Operations - Business Analyst (BA) - 2469,"1. Prior experience in Requirements capture & documenting. 
2. Good Communication skills
3. Analytical thinking",E-Media Panel / Emedia Operations,1,Any,IT / Business Analyst,,
Business Analyst (BA),"Analyzes business processes and data to identify areas for improvement and support decision-making. Gathers and documents requirements, creates detailed reports, and collaborates with stakeholders to design effective solutions. Assesses project performance and ensures alignment with business goals, using data-driven insights to optimize outcomes.",Emedia Operations - Business Analyst (BA) - 2583,"Requirements - 
Strong 3-5 year experience in analytics.
Experience in working on analytics for a mobile App. 
Proficiency in SQL, Excel and at least one visualization tool like tableau or qlikview.",E-Media Panel / Emedia Operations,2,Any,IT / Business Analyst IT / Data Analyst,,
Business Analyst (BA),"Analyzes business processes and data to identify areas for improvement and support decision-making. Gathers and documents requirements, creates detailed reports, and collaborates with stakeholders to design effective solutions. Assesses project performance and ensures alignment with business goals, using data-driven insights to optimize outcomes.",IT - Applications - Business Analyst (BA) - 2613,"Business Analyst, Scrum Master, Systems Analyst, Project Manager",IT / IT - Applications,4,Any,IT / Business Analyst,,
Business Analyst (BA),"Analyzes business processes and data to identify areas for improvement and support decision-making. Gathers and documents requirements, creates detailed reports, and collaborates with stakeholders to design effective solutions. Assesses project performance and ensures alignment with business goals, using data-driven insights to optimize outcomes.",IPC - Business Analyst (BA) - 2687,Central (IPC-IT) Good understanding of how business functions. Able to translate the business cases to functional requirements. Having experience in connecting Business and the IT team,IPC,2,Any,IT / Business Analyst,Basic Computer Skills / Basic Computer (MS Office and Email) Skills Engineering / Computer Science Engineer,
Business Analyst (BA),"Analyzes business processes and data to identify areas for improvement and support decision-making. Gathers and documents requirements, creates detailed reports, and collaborates with stakeholders to design effective solutions. Assesses project performance and ensures alignment with business goals, using data-driven insights to optimize outcomes.",Sadhanapada - Business Analyst (BA) - 2710,"CCT - Leverage analytic techniques in Excel to use data to guide decision-making across teams. Provide insights and recommendations based on the story the data tells.
- Good with unstructured problem solving and is a critical thinker. They should be able to leverage problem solving skills to develop solutions for different research projects
- Construct and maintain a database in Excel for recording market research data. Monitor the quality of the data across research projects.",Sadhanapada,1,Any,Corporate / Consultant,Soft Skills / Articulate in communication IT / Data Analyst,
Business Analyst (BA),"Analyzes business processes and data to identify areas for improvement and support decision-making. Gathers and documents requirements, creates detailed reports, and collaborates with stakeholders to design effective solutions. Assesses project performance and ensures alignment with business goals, using data-driven insights to optimize outcomes.",ILPL - Marketing - Business Analyst (BA) - 2731,Need a Business Analyst for growth,ILPL - Marketing,2,Any,IT / Business Analyst Corporate / Financial & Accounting Manager,,
Business Analyst (BA),"Analyzes business processes and data to identify areas for improvement and support decision-making. Gathers and documents requirements, creates detailed reports, and collaborates with stakeholders to design effective solutions. Assesses project performance and ensures alignment with business goals, using data-driven insights to optimize outcomes.",Ashram Administration - Business Analyst (BA) - 2841,"KURTA Shop Management for upcoming Sadhanapadas,LTV AND General Voluteers and material Purchase and storage manager of admin related materials

Skill set :
Operational Management and Efficiency
Customer Experience Leadership
Inventory Management and Analytics
Effective Communication and Relationship Building
Expert in budgeting",Ashram Administration,1,Any,Corporate / Financial & Accounting Manager,Soft Skills / Enthusiastic,English (UK) Tamil Hindi / हिंदी
Business Analyst (BA),"Analyzes business processes and data to identify areas for improvement and support decision-making. Gathers and documents requirements, creates detailed reports, and collaborates with stakeholders to design effective solutions. Assesses project performance and ensures alignment with business goals, using data-driven insights to optimize outcomes.",Bangalore Temple - Business Analyst (BA) - 2863,"Business Process - process analysis, optimization, documentation & Six Sigma",Bangalore Temple,1,Any,IT / Business Analyst,,
CAD Designer,"Uses CAD software to create detailed designs and technical drawings for various projects. Collaborates with engineers and stakeholders to develop and refine plans. Ensures accuracy in design, selects appropriate components, and maintains updated documentation to support project objectives.",Electrical - CAD Designer - 2303,"Design electrical systems for different purposes.
Choose appropriate electrical components.
Work with other engineers and stakeholders.",Electrical,1,Any,Construction & Fabrication / Drafting - AutoCad,Engineering / Electrical Engineer,
CAD Designer,"Uses CAD software to create detailed designs and technical drawings for various projects. Collaborates with engineers and stakeholders to develop and refine plans. Ensures accuracy in design, selects appropriate components, and maintains updated documentation to support project objectives.",Electrical - CAD Designer - 2304,"Design electrical systems for different purposes.
Choose appropriate electrical components.
Work with other engineers and stakeholders.",Electrical,1,Any,Construction & Fabrication / Drafting - AutoCad,,
CAD Designer,"Uses CAD software to create detailed designs and technical drawings for various projects. Collaborates with engineers and stakeholders to develop and refine plans. Ensures accuracy in design, selects appropriate components, and maintains updated documentation to support project objectives.",Earthworks - CAD Designer - 2327,Person should have the knowledge of Auto cade as well as Civil Engineering,Earthworks,2,Any,Construction & Fabrication / Civil Engineer,Construction & Fabrication / Drafting - AutoCad,
Call Centre,"Handles incoming and outgoing calls to assist customers, address inquiries, and provide support. Manages tasks such as booking services, coordinating with vendors, and verifying participant details. Maintains effective communication, follows up on specific cases, and ensures accurate data entry. Demonstrates good communication skills, problem-solving, and basic computer proficiency.",Cottage Accomodation - Call Centre - 2269,Handling guests queries over the phone,Cottage Accomodation,5,Any,Media and Communication / BPO,,English (US)
Call Centre,"Handles incoming and outgoing calls to assist customers, address inquiries, and provide support. Manages tasks such as booking services, coordinating with vendors, and verifying participant details. Maintains effective communication, follows up on specific cases, and ensures accurate data entry. Demonstrates good communication skills, problem-solving, and basic computer proficiency.",Vahanam - Call Centre - 2334,Calling activity for taxi booking and taxi vendor calling for allocation part,Vahanam,6,Male,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,,Tamil English (US)
Call Centre,"Handles incoming and outgoing calls to assist customers, address inquiries, and provide support. Manages tasks such as booking services, coordinating with vendors, and verifying participant details. Maintains effective communication, follows up on specific cases, and ensures accurate data entry. Demonstrates good communication skills, problem-solving, and basic computer proficiency.",Gramotsavam - Call Centre - 2378,Good Communication and basic computer skills,Outreach / Action For Rural Rejuvenation / Gramotsavam,5,Any,Soft Skills / Articulate in communication,,Tamil Kannada Telugu / తెలుగు Malayalam
Call Centre,"Handles incoming and outgoing calls to assist customers, address inquiries, and provide support. Manages tasks such as booking services, coordinating with vendors, and verifying participant details. Maintains effective communication, follows up on specific cases, and ensures accurate data entry. Demonstrates good communication skills, problem-solving, and basic computer proficiency.",Thaimann Kakkum Vivasayam - Call Centre - 2444,Follow-up farmers through phone calls and billing entries.,Save Soil / Thaimann Kakkum Vivasayam,1,Female,Media and Communication / BPO Basic Computer Skills / Basic Computer (MS Office and Email) Skills,,English (US) Tamil
Call Centre,"Handles incoming and outgoing calls to assist customers, address inquiries, and provide support. Manages tasks such as booking services, coordinating with vendors, and verifying participant details. Maintains effective communication, follows up on specific cases, and ensures accurate data entry. Demonstrates good communication skills, problem-solving, and basic computer proficiency.",Sadhanapada - Call Centre - 2707,Health - Looks after Participant exception and does the calling to varify,Sadhanapada,1,Any,Soft Skills / Articulate in communication,Basic Computer Skills / Data Entry skills Medical / Nurse,
Call Centre,"Handles incoming and outgoing calls to assist customers, address inquiries, and provide support. Manages tasks such as booking services, coordinating with vendors, and verifying participant details. Maintains effective communication, follows up on specific cases, and ensures accurate data entry. Demonstrates good communication skills, problem-solving, and basic computer proficiency.",Sadhanapada - Call Centre - 2714,"Programs - Calling Sadhana session Absentees, having difficult conversation at times",Sadhanapada,3,Any,Soft Skills / Articulate in communication,Basic Computer Skills / Data Entry skills Soft Skills / Fit for Physical Seva,English (US) Hindi / हिंदी
Carnatic Music Teacher,"Teaches students the fundamentals and advanced techniques of Carnatic music, including vocal and instrumental practices. Develops lesson plans, guides students through exercises, and provides constructive feedback. Fosters an appreciation for traditional music while helping students develop their skills and performance confidence.",Isha Samskriti - Carnatic Music Teacher - 2355,Able to teach Carnatic music to junior and Senior school,Isha Samskriti,2,Any,Arts and Crafts / Musician,,
Carnatic Music Teacher,"Teaches students the fundamentals and advanced techniques of Carnatic music, including vocal and instrumental practices. Develops lesson plans, guides students through exercises, and provides constructive feedback. Fosters an appreciation for traditional music while helping students develop their skills and performance confidence.",Isha Home School - Carnatic Music Teacher - 2630,"""* Teach the fundamentals of Carnatic music, including swara (notes), raga (melody), tala (rhythm), and compositions.
* Provide instruction on vocal techniques, such as voice modulation, breath control, and pronunciation.
* Guide students in learning varnams, krithis, and other traditional compositions in various ragas.
* Offer lessons on improvisational aspects of Carnatic music, such as alapana, neraval, and kalpana swaram.
* Provide personalized feedback and correction to students to improve their singing abilities.
* Prepare students for music examinations (ICSE or otherwise) and performances, ensuring they are confident and well-prepared.
* Instill an appreciation for the rich cultural heritage and traditions associated with Carnatic music.
* Foster a positive and encouraging learning environment that inspires students to develop their musical skills and creativity.
* Collaborate with other music teachers and staff to perform at various school functions, including cultural events, assemblies, and celebrations. 
* Attend faculty meetings, departmental meetings, and other school-related gatherings as required.
* Adhere to the school's policies regarding work leave, especially in relation to school events; communicate effectively with school administration and colleagues regarding planned absences, ensuring that necessary arrangements are made to cover teaching responsibilities during these periods.
""",Isha Home School,2,Any,Arts and Crafts / Musician,,
Chartered Accountant,"Handles auditing, accounting, and taxation tasks, including ledger scrutiny and accounts finalization. Supports monthly GST filing, implements financial entries, and trains accountants to maintain compliance. Monitors and ensures proper fund utilization for CSR projects and other financial outreach initiatives, aligning with donor agreements.",Business Finance - Chartered Accountant - 2330,"Auditing, Accounting and taxation",Business Finance,1,Male,Accounting / Auditor,,Tamil English (UK)
Chartered Accountant,"Handles auditing, accounting, and taxation tasks, including ledger scrutiny and accounts finalization. Supports monthly GST filing, implements financial entries, and trains accountants to maintain compliance. Monitors and ensures proper fund utilization for CSR projects and other financial outreach initiatives, aligning with donor agreements.",Farmer Producer Organisation (FPO) - Chartered Accountant - 2499,"To support for Tally ledger scrutiny, Monthly GST filing, implementation of tally entries for Manufacturing Journals, Cost centre and other event based requirement through training to accountants of 7-8 FPO each
Accounts Finalization",Farmer Producer Organisation (FPO),3,Any,Accounting / Chartered Accountant,,
Chartered Accountant,"Handles auditing, accounting, and taxation tasks, including ledger scrutiny and accounts finalization. Supports monthly GST filing, implements financial entries, and trains accountants to maintain compliance. Monitors and ensures proper fund utilization for CSR projects and other financial outreach initiatives, aligning with donor agreements.",Isha Bhiksha - Chartered Accountant - 2865,Coordinate CSR Projects: Monitoring and compliance of outreach projects' fund utilisation as agreed with the donor(s).,Isha Bhiksha,1,Any,Accounting / Chartered Accountant Corporate / Financial & Accounting Manager Soft Skills / Strong Interpersonal skills (Coordinator),Office Assistant / Admin Assistant Environment / Agriculture/ Farmer,English (UK) Hindi / हिंदी Tamil
Chemical/ Paint Engineer,"Design, develop, and optimize chemical formulations for various applications. Conduct research, analyze data, and provide technical support for production processes. Collaborate with cross-functional teams to ensure product quality and efficiency. Maintain compliance with safety regulations and industry standards.",Construction - LSP - Chemical/ Paint Engineer - 2462,For painting Department,Construction - LSP,1,Any,Engineering / Engineering - Others,,
Chemistry Teacher,"Plan and deliver engaging lessons to teach chemistry concepts. Create and administer assessments to evaluate student learning. Provide guidance and support to students, promoting their understanding and enthusiasm for the subject. Encourage critical thinking and problem-solving skills in a classroom environment.",Senior School - IHS - Chemistry Teacher -  2607,,Isha Home School / Senior School - IHS,2,Any,,,
Civil Estimators,"Analyze project specifications and blueprints to estimate costs for civil construction projects. Coordinate with contractors, suppliers, and engineers to gather information and ensure accurate estimations. Prepare detailed cost breakdowns, proposals, and timelines for bidding purposes. Utilize industry knowledge to provide cost-effective solutions and support project objectives.",Construction - LSP - Civil Estimators - 2458,"Should be able to supervise Site activities
Should be able to estimate material needed for civil or steel structures",Construction - LSP,3,Any,Construction & Fabrication / Construction - Others,,
Civil Estimators,"Analyze project specifications and blueprints to estimate costs for civil construction projects. Coordinate with contractors, suppliers, and engineers to gather information and ensure accurate estimations. Prepare detailed cost breakdowns, proposals, and timelines for bidding purposes. Utilize industry knowledge to provide cost-effective solutions and support project objectives.",Bangalore Temple - Civil Estimators - 2859,Civil Engineer - Spoken skills in Kannada and English; computer skills Experience working in rural communities; experience in watershed engineering projects,Bangalore Temple,1,Any,Construction & Fabrication / Civil Engineer,,
Class Teacher - Junior School,"Create a nurturing and inclusive learning environment for young students. Develop lesson plans, activities, and assessments to engage and support students' academic and personal growth. Implement classroom management strategies to foster positive behavior and social skills. Collaborate with parents and colleagues to provide a holistic educational experience.",Isha Home School - Class Teacher - Junior School - 2325,"* Teach the following subjects of the JS curriculum - English, Math, Environmental Science
* Organise the classroom and learning resources and create displays to encourage a positive learning environment
* Plan, prepare and present lessons that cater for the needs of the whole ability range within the class
* Maintain discipline
* Prepare and assess student work, providing specific feedback for further development
* Create a nurturing and safe environment for students of this age group, keeping in mind their social/ emotional make up and needs
* Maintain records of student progress, and fill out tracking sheets and report cards
* Share observations and provide feedback to parents during parent visits 
* Coordinate activities and resources within a specific area of the curriculum, and support colleagues in the delivery of this specialist area
* Collaborate with other teachers to plan and coordinate work
* Organise and take part in school events, outings and miscellaneous activities as needed",Isha Home School,1,Male,Education / Primary Teacher,Education / Arts and Crafts Teacher,
Class Teacher - Middle School,"Facilitate a dynamic learning environment for middle school students. Design and deliver engaging lessons that align with curriculum standards. Assess student progress through various evaluation methods and provide constructive feedback. Foster a positive classroom culture that encourages critical thinking, collaboration, and personal development. Collaborate with colleagues and parents to support students' academic and social-emotional growth.",Isha Vidhya - Class Teacher - Middle School - 2569,"support in making manual, workbook and assessment papers for class 1-8",Isha Vidhya,2,Any,Soft Skills / Articulate in communication Basic Computer Skills / Basic Computer (MS Office and Email) Skills,,English (UK)
Class Teacher - Middle School,"Facilitate a dynamic learning environment for middle school students. Design and deliver engaging lessons that align with curriculum standards. Assess student progress through various evaluation methods and provide constructive feedback. Foster a positive classroom culture that encourages critical thinking, collaboration, and personal development. Collaborate with colleagues and parents to support students' academic and social-emotional growth.",Middle School - Class Teacher - Middle School - 2601,"""* Teach the following subjects of the MS curriculum - English & Social Studies- or - Math & Science
* Organise the classroom and learning resources and create displays to encourage a positive learning environment
* Plan, prepare and present lessons that cater for the needs of the whole ability range within the class
* Maintain discipline
* Prepare and assess student work, providing specific feedback for further development
* Create a nurturing and safe environment for students of this age group, keeping in mind their social/ emotional make up and needs
* Maintain records of student progress, and fill out tracking sheets and report cards
* Share observations and provide feedback to parents during parent visits 
* Coordinate activities and resources within a specific area of the curriculum, and support colleagues in the delivery of this specialist area
* Collaborate with other teachers to plan and coordinate work
* Organise and take part in school events, outings and miscellaneous activities as needed",Isha Home School / Middle School,1,Any,Education / Primary Teacher,,English (UK)
Communication/Soft skill  Teacher,,Isha Samskriti - Communication/Soft skill  Teacher -  2363,,Isha Samskriti,6,Female,,,
Communication/Soft skill  Teacher,,Isha Home School - Communication/Soft skill  Teacher - 2612,,Isha Home School,1,Any,,,
Company Secretary,"Manage corporate governance and regulatory compliance within the organization. Coordinate board meetings and maintain accurate corporate records. Advise on legal and financial matters, ensuring adherence to laws and regulations. Facilitate communication between the board, stakeholders, and government agencies. Serve as a key point of contact for corporate governance issues and strategic decision-making.",Farmer Producer Organisation (FPO) - Company Secretary - 2502,"To support for following compliance on MCA:
KYC updation of each directors of FPO, AGM doc preparation and filing of each FPO, event based reporting like: filing of INC 22 for change is FPO address, INC 20A, DIR 12 (Change in composition of Director)

Each participant will be handling approx 12 FPO.",Farmer Producer Organisation (FPO),2,Any,Accounting / Auditor,,
Company Secretary,"Manage corporate governance and regulatory compliance within the organization. Coordinate board meetings and maintain accurate corporate records. Advise on legal and financial matters, ensuring adherence to laws and regulations. Facilitate communication between the board, stakeholders, and government agencies. Serve as a key point of contact for corporate governance issues and strategic decision-making.",Legal - Company Secretary - 2790,Company Secretary with compliance experience,Legal,1,Any,Soft Skills / Articulate in communication,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,English (UK) Tamil
Compliance Lawyer,"Ensure organizational compliance with laws, regulations, and industry standards. Conduct legal research, interpret laws, and assess impact on policies and practices. Develop compliance programs, policies, and procedures to mitigate risks and promote ethical conduct. Advise on compliance matters, investigations, and enforcement actions. Collaborate with teams to address legal implications and maintain a culture of adherence to regulatory requirements.",Legal - Compliance Lawyer - 2791,Each person should have minimum 5-6 years experience,Legal,1,Any,General / Lawyer,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,English (UK) Tamil
Computer Teacher,"Instruct students on computer fundamentals, software applications, and coding concepts. Develop engaging lesson plans to enhance digital literacy and technical skills. Provide hands-on training in areas such as programming languages, computer hardware, and internet safety. Support student projects and encourage problem-solving in a technology-driven classroom.",Isha Home School - Computer Teacher - 2870,"Anyone with programming experience and willing to learn and teach students. Someone with industry experience would be great. 

Core Java Or 
Industry experience in machine learning/AI/Web development Or 
knowledgeable in hobby projects with Raspberry pi/Arduino is highly desirable.",Isha Home School,1,Any,Engineering / Computer Science Engineer,,
Content Creator,"Craft compelling and relevant content across various platforms, including written articles, videos, social media posts, and graphics. Research trending topics and target audience preferences to create engaging material. Collaborate with marketing and design teams to align content with brand messaging. Analyze performance metrics and user feedback to optimize content strategies for increased reach and engagement.",Farmer Producer Organisation (FPO) - Content Creator - 2493,"Preparaing content for various reports, proposals,posters, banners newsletter, Magzines",Farmer Producer Organisation (FPO),3,Any,Media and Communication / Content Writer,Media and Communication / Content Writer,
Content Creator,"Craft compelling and relevant content across various platforms, including written articles, videos, social media posts, and graphics. Research trending topics and target audience preferences to create engaging material. Collaborate with marketing and design teams to align content with brand messaging. Analyze performance metrics and user feedback to optimize content strategies for increased reach and engagement.",Farmer Producer Organisation (FPO) - Content Creator - 2503,"Support Funds raise related documents including Pitch deck, CSR grant proposal, Donor communication, Project updates, Donor prospects tracking",Farmer Producer Organisation (FPO),2,Any,Media and Communication / Content Writer,,Tamil English (UK)
Content Creator,"Craft compelling and relevant content across various platforms, including written articles, videos, social media posts, and graphics. Research trending topics and target audience preferences to create engaging material. Collaborate with marketing and design teams to align content with brand messaging. Analyze performance metrics and user feedback to optimize content strategies for increased reach and engagement.",Emedia Operations - Content Creator - 2541,Volunteers who are content creators on Instagram and/or Tiktok. They are comfortable with creating short form content (Reels). They are familiar with current social media trends on these platforms and can create trending content.,E-Media Panel / Emedia Operations,4,Any,Emedia / Active on Social Media Emedia / Influencer Emedia / Social Media Campaigns,,
