Job Title,Job Title Generic Description
Punjabi Translator,"Translate written or spoken content between Punjabi and other languages accurately, ensuring cultural relevance and linguistic precision. Responsibilities include interpreting documents, localizing materials, and facilitating effective communication. Requires fluency in Punjabi and the target language, excellent writing and comprehension skills, and knowledge of cultural nuances to deliver accurate and context-appropriate translations."
Recruitment Officer,"Manage the recruitment process, including sourcing, screening, and interviewing candidates to meet organizational needs. Collaborate with teams to define role requirements and ensure a smooth hiring experience. Requires strong communication, organizational, and networking skills, with experience in recruitment strategies and tools."
Researcher,"Conduct thorough research to gather, analyze, and interpret data on specific topics. Provide insights and recommendations based on findings to support decision-making. Requires strong analytical skills, attention to detail, and proficiency in research methods and tools to deliver accurate and valuable information."
Rituals,"Oversee and perform sacred temple rituals, ensuring proper conduct of ceremonies, prayers, and offerings. Maintain spiritual traditions and temple practices, fostering a harmonious environment. Requires knowledge of religious rituals, attention to detail, and a deep understanding of cultural and spiritual significance."
Romanian Video Editor,"Edit and create video content in Romanian, ensuring high-quality visuals, sound, and narrative flow. Responsibilities include cutting, mixing, and enhancing video footage while maintaining linguistic and cultural accuracy. Requires proficiency in video editing software, strong attention to detail, and fluency in both Romanian and the target language."
Russian Video Editor,"Edit and create video content in Russian, ensuring seamless integration of visuals, audio, and narrative. Responsibilities include cutting, enhancing, and mixing footage, while maintaining linguistic and cultural accuracy. Requires proficiency in video editing software, strong attention to detail, and fluency in Russian and the target language."
Safety Professionals,"Ensure the health, safety, and well-being of employees and the workplace by identifying hazards, conducting risk assessments, and implementing safety protocols. Monitor compliance with safety regulations and provide training on safe work practices. Requires knowledge of safety standards, attention to detail, and the ability to manage emergency situations effectively."
Sales Manager/ Executive,"Oversee and drive sales activities to meet organizational goals. Responsibilities include identifying prospects, managing customer relationships, negotiating deals, and ensuring target achievements. Requires strong communication, negotiation skills, and the ability to analyze market trends. Experience in sales strategies and team collaboration is essential."
Sanskrit Teacher,"Teach and promote the study of Sanskrit, including grammar, literature, and cultural context. Responsibilities include preparing lesson plans, conducting classes, and fostering an understanding of the language's significance. Requires expertise in Sanskrit, excellent communication skills, and a passion for teaching and preserving cultural heritage."
Science Teacher,"Teach science subjects, including biology, chemistry, and physics, to students at various educational levels. Responsibilities include preparing lesson plans, conducting experiments, and assessing student progress. Requires strong knowledge of scientific concepts, effective communication skills, and a passion for inspiring students to explore and understand the world of science."
Server Engineer,"Manage and maintain servers, ensuring their optimal performance, security, and uptime. Responsibilities include installing, configuring, troubleshooting, and upgrading server hardware and software. Requires expertise in server management, network protocols, and troubleshooting, along with the ability to handle server-related issues efficiently to support business operations."
Session Designer,"Design and develop engaging and informative sessions for training, workshops, or educational programs. Responsibilities include creating content, structuring sessions, and incorporating interactive elements to enhance learning experiences. Requires strong communication, creativity, and instructional design skills to ensure the sessions meet the learning objectives and audience needs."
Session Facilitator,"Guide and manage group sessions, ensuring smooth interactions, active participation, and achievement of session goals. Responsibilities include leading discussions, providing support, and fostering an engaging learning environment. Requires strong communication, interpersonal skills, and the ability to manage group dynamics while encouraging collaboration and knowledge sharing."
Singers / Instrumentalists / Musicians,"Perform and create music through vocals or instruments, delivering high-quality performances for audiences or recordings. Responsibilities include rehearsing, collaborating with other musicians, and performing at events or in studio settings. Requires musical talent, proficiency in an instrument or voice, and a passion for creating and sharing music."
Site Supervisor,"Oversee and manage daily operations on construction or project sites, ensuring safety, quality, and adherence to timelines. Responsibilities include supervising workers, coordinating with contractors, inspecting site conditions, and ensuring compliance with safety regulations. Requires strong leadership, organizational skills, and knowledge of construction practices and regulations."
Social media Manager,"Manage and execute social media strategies to increase brand awareness and engagement. Responsibilities include creating content, scheduling posts, analyzing metrics, and engaging with followers. Requires strong communication skills, creativity, and knowledge of social media platforms and trends to effectively build and maintain an online presence."
Spanish Translator,"Translate written or spoken content between Spanish and other languages, ensuring accuracy and cultural relevance. Responsibilities include translating documents, interpreting conversations, and localizing materials. Requires fluency in Spanish, strong writing and comprehension skills, and a deep understanding of cultural nuances for context-appropriate translations."
Stay Area Support,"Provide assistance and support to individuals in stay areas, ensuring a comfortable and safe environment. Responsibilities include managing accommodations, addressing concerns, coordinating logistics, and ensuring all facilities meet requirements. Requires strong organizational, communication, and problem-solving skills to handle guest needs and maintain smooth operations."
Structural Engineer,"Design, analyze, and oversee the construction of structural components for buildings, bridges, and other infrastructure projects. Responsibilities include ensuring safety, stability, and compliance with regulations, conducting material tests, and collaborating with architects and contractors. Requires strong knowledge of engineering principles, materials, and structural design software."
Supervising Activities,"Oversee and manage daily activities, ensuring they align with organizational goals and standards. Responsibilities include coordinating tasks, monitoring progress, providing guidance, and ensuring safety and efficiency. Requires strong leadership, problem-solving, and communication skills to ensure activities are completed on time and within scope."
Swimming coach,"Train and mentor swimmers of all skill levels, improving technique, endurance, and performance. Responsibilities include developing training plans, providing feedback, and conducting individual or group lessons. Requires deep knowledge of swimming techniques, strong communication skills, and the ability to motivate and guide athletes towards achieving their goals."
Tabla Teacher,"Teach and promote the art of playing the tabla, including rhythm patterns, techniques, and cultural significance. Responsibilities include preparing lesson plans, conducting classes, and offering individualized feedback. Requires expertise in tabla performance, strong communication skills, and a passion for teaching music and preserving cultural traditions."
Tamil Teacher,"Teach the Tamil language, including grammar, literature, and cultural context. Responsibilities include preparing lesson plans, conducting classes, and fostering a deep understanding of the language's nuances. Requires fluency in Tamil, strong communication skills, and a passion for teaching and preserving cultural heritage."
Tamil Translator,"Translate written or spoken content between Tamil and other languages, ensuring accuracy and cultural relevance. Responsibilities include translating documents, interpreting conversations, and localizing materials. Requires fluency in Tamil, strong writing and comprehension skills, and an understanding of cultural nuances to deliver precise and context-appropriate translations."
Teacher - Others,"Teach various subjects or skills not covered under specific teaching roles. Responsibilities include preparing lesson plans, delivering instructional content, and assessing student progress. Requires strong communication, organizational skills, and the ability to adapt teaching methods to meet diverse learner needs in a variety of subjects or disciplines."
Technical Support,"Provide assistance and troubleshooting for technical issues related to software, hardware, or systems. Responsibilities include diagnosing problems, guiding users through solutions, and offering support via phone, email, or in-person. Requires strong problem-solving skills, technical knowledge, and the ability to communicate effectively with users to resolve issues efficiently."
Technical support for Audio,"Provide technical assistance for audio-related issues, including equipment setup, troubleshooting, and maintenance. Responsibilities include diagnosing audio problems, configuring sound systems, and ensuring optimal performance for events or recordings. Requires expertise in audio equipment, signal processing, and strong problem-solving skills to deliver effective support in real-time situations."
Telugu Translator,"Translate written or spoken content between Telugu and other languages, ensuring accuracy and cultural relevance. Responsibilities include translating documents, interpreting conversations, and localizing materials. Requires fluency in Telugu, strong writing and comprehension skills, and an understanding of cultural nuances to deliver precise and context-appropriate translations."
Tennis coach,"Teach and train individuals or teams in tennis, improving skills, techniques, and overall performance. Responsibilities include developing training plans, providing feedback, and conducting drills. Requires expertise in tennis strategies, strong communication skills, and the ability to motivate and guide players at various skill levels to achieve their goals."
Test Engineer,"Design, execute, and evaluate software or hardware tests to ensure products meet quality standards. Responsibilities include creating test plans, identifying bugs, and documenting results. Requires strong problem-solving skills, attention to detail, and proficiency in testing tools and methodologies to ensure functionality, performance, and reliability of the product."
Thai Translator,"Translate written or spoken content between Thai and other languages, ensuring accuracy and cultural relevance. Responsibilities include translating documents, interpreting conversations, and localizing materials. Requires fluency in Thai, strong writing and comprehension skills, and an understanding of cultural nuances to deliver precise and context-appropriate translations."
Traditional Chinese Video Editor,"Edit and create video content in Traditional Chinese, ensuring high-quality visuals, sound, and narrative flow. Responsibilities include cutting, mixing, and enhancing footage, while maintaining linguistic and cultural accuracy. Requires proficiency in video editing software, strong attention to detail, and fluency in Traditional Chinese and the target language."
Transcription,"Convert audio or video recordings into written text, ensuring accuracy and clarity. Responsibilities include listening carefully, transcribing spoken words, and formatting the text according to requirements. Requires strong listening, typing, and language skills, with attention to detail and the ability to handle various accents and audio quality."
Translators,"Translate written or spoken content between languages, ensuring accuracy, clarity, and cultural relevance. Responsibilities include translating documents, interpreting conversations, and localizing materials to suit the target audience. Requires fluency in at least two languages, strong writing and comprehension skills, and a deep understanding of cultural nuances."
UI Designer,"Design and create visually appealing and user-friendly interfaces for websites, apps, or software. Responsibilities include developing design concepts, wireframes, and prototypes, ensuring a seamless user experience. Requires strong knowledge of design principles, proficiency in design tools, and the ability to collaborate with developers to implement designs effectively."
UX Desinger,"Design user-centered experiences for websites, apps, or products by researching user needs and behaviors. Responsibilities include creating wireframes, prototypes, and conducting usability testing. Requires strong skills in user research, interaction design, and problem-solving, with a focus on enhancing the overall user experience and ensuring accessibility and functionality."
Veterinary Doctor,"Diagnose and treat medical conditions in animals, providing preventative care and surgical interventions. Responsibilities include examining pets or livestock, administering vaccines, prescribing medications, and performing surgeries. Requires a degree in veterinary medicine, strong medical knowledge, and the ability to care for various animal species with compassion and expertise."
Video calls - Interviews,"Conduct remote job interviews via video calls to assess candidates' qualifications, skills, and fit for the role. Responsibilities include scheduling interviews, evaluating candidates, and providing feedback. Requires strong communication skills, familiarity with video conferencing tools, and the ability to maintain professionalism during remote interactions."
Video Editor,"Edit and assemble video footage to create high-quality content for various platforms. Responsibilities include cutting, enhancing, and combining visuals, audio, and effects to deliver a polished final product. Requires proficiency in video editing software, strong attention to detail, and creativity in storytelling through visual media."
Vietnamese Translator,"Translate written or spoken content between Vietnamese and other languages, ensuring accuracy and cultural relevance. Responsibilities include translating documents, interpreting conversations, and localizing materials. Requires fluency in Vietnamese, strong writing and comprehension skills, and an understanding of cultural nuances for precise and context-appropriate translations."
Violin Teacher,"Teach students how to play the violin, focusing on technique, music theory, and performance skills. Responsibilities include preparing lesson plans, conducting individual or group lessons, and providing constructive feedback. Requires proficiency in violin playing, strong communication skills, and a passion for teaching and nurturing musical talent."
Visual Merchandiser,"Design and implement visually appealing layouts and graphics for a website to enhance user experience and brand representation. Responsibilities include arranging content, optimizing images, and creating engaging visuals that align with the brand's aesthetics. Requires creativity, design skills, and knowledge of web trends and user interface principles."
