SP ID,Work Experience/Company,Work Experience/Designation,Work Experience/Tasks,Work Experience/Industry,Education/Qualifications,Education/Specialization,Any Additional Skills,Computer Skills,Skills,Languages,Gender,Age,Work Experience/From Date,Work Experience/To Date,summary
618603,HP,TSE - Product Specialist,"['Overall Product Ownership, Support, Configuration, Troubleshooting  and sales of both Hardware and SAAS products.', 'Purely Software based role.']","['IT', 'Architecture']",Bachelor of Engineering (B.E.),Electronics and Communication,NA,"Overall computer skills, typing, working within any software/CRM's. 
Intermediate level coding, analytics stuff, etc..",Emedia / Active on Social Media,"['English (US) (R W S T)', 'Kannada (R W S T)', 'Hindi / हिंदी (R W S T)']",Male,27.0,"['2021-03-01', '2023-05-10']","['2023-04-10', '2024-04-10']","
Participant 618603 has the following work experience: A IT in the industry doing Overall Product Ownership, Support, Configuration, Troubleshooting  and sales of both Hardware and SAAS products. tasks for 25 months. A Architecture in the industry doing Purely Software based role. tasks for 11 months.
They have the following qualifications: Bachelor of Engineering (B.E.) in Electronics and Communication.
They have the following skills: Emedia / Active on Social Media and NA and computer skill 
Overall computer skills, typing, working within any software/CRM's. 
Intermediate level coding, analytics stuff, etc.. and know the following languages: English (US) (R W S T).Kannada (R W S T).Hindi / हिंदी (R W S T).
The participant is a Male and 27.0 years old.
"
618472,NA,NA,['NA'],['NA'],Bachelor of Science (B.Sc),NA,preparing for UPSC,No,Others / Air Force,['English (UK) (R W S T)'],Male,27.0,['NA'],['NA'],"
Participant 618472 has the following work experience: A NA in the industry doing NA tasks.
They have the following qualifications: Bachelor of Science (B.Sc) in NA.
They have the following skills: Others / Air Force and preparing for UPSC and computer skill 
No and know the following languages: English (UK) (R W S T).
The participant is a Male and 27.0 years old.
"
618419,Procuradoria do Município de Campo Grande,"I am Layer for a City (after a civil service exam), representing its interests.","['Here I am responsible for two departments, as the coordinator, you can say. On one of them, we manage legal actions against people or companys that have not paid their taxes, and that are of interesting value, above certain ammount. And on the other department, we manage all the legal condemnations that are towards the city and culminate in the necessety of payment, so that we verify the ammount, and follow it until the end of that legal case, with the ending being the payment of the indenization.']",['Government'],Bachelor of Law (B.L. / LLB),Post Graduate at Penal Law,Lawyer,"Pretty much anything I can learn on a computer, as since I am kid I have been on one, basically for 25 years. 
As skills per se, I can say I am very fast on it and basically understand how it functions, how it operates, and the underlying mecanism of it.",Basic Computer Skills / Basic Computer (MS Office and Email) Skills,"['English (US) (R W S T)', 'Spanish / Español (R W S T)']",Male,31.0,['2020-06-09'],['NA'],"
Participant 618419 has the following work experience: A Government in the industry doing Here I am responsible for two departments, as the coordinator, you can say. On one of them, we manage legal actions against people or companys that have not paid their taxes, and that are of interesting value, above certain ammount. And on the other department, we manage all the legal condemnations that are towards the city and culminate in the necessety of payment, so that we verify the ammount, and follow it until the end of that legal case, with the ending being the payment of the indenization. tasks.
They have the following qualifications: Bachelor of Law (B.L. / LLB) in Post Graduate at Penal Law.
They have the following skills: Basic Computer Skills / Basic Computer (MS Office and Email) Skills and Lawyer and computer skill 
Pretty much anything I can learn on a computer, as since I am kid I have been on one, basically for 25 years. 
As skills per se, I can say I am very fast on it and basically understand how it functions, how it operates, and the underlying mecanism of it. and know the following languages: English (US) (R W S T).Spanish / Español (R W S T).
The participant is a Male and 31.0 years old.
"
618312,Oracle India Pvt Ltd,Application Engineer,"[""I was responsible for developing the backend software development requirements for the Team's product.""]",['IT'],Bachelor of Engineering (B.E.),Electrical and Electronics Engineering,NA,I am proficient in running a computer and learning any new computer skills that I might require.,Emedia / Active on Social Media,['English (US) (R W S )'],Male,28.0,['2018-07-26'],['2019-08-30'],"
Participant 618312 has the following work experience: A IT in the industry doing I was responsible for developing the backend software development requirements for the Team's product. tasks for 13 months.
They have the following qualifications: Bachelor of Engineering (B.E.) in Electrical and Electronics Engineering.
They have the following skills: Emedia / Active on Social Media and NA and computer skill 
I am proficient in running a computer and learning any new computer skills that I might require. and know the following languages: English (US) (R W S ).
The participant is a Male and 28.0 years old.
"
618273,Cortecnet,Sales representative,"['Responsible for sales of consumables and molecules labeled with stable isotopes (high value-added products) for various analytical and imaging techniques such as NMR, MS, MRI and PET. Client calls - 40% / Salesforce and Quotations - 40 % / Client Visits - 20% Results: Increase of profits by 53% between 31.12.2018 - 31.12.2017  2019 main achievement - Profits match with previous year, with business diversification to raise a new devision of business as 26% of the profits of the Zone I managed.']",['Research and Development'],Master of Science (M.Sc),Creativity and Marketing,"✔Various types of art. Studied multiple forms all over the world.
✔Can sing and play Piano
✔MS office, Adobe photoshop, premiere Davinci Resolve video editing, color grading, VR, AI art, Digital painting","MS office, Adobe photoshop, premiere Davinci Resolve video editing, color grading, VR, AI art, Digital painting, etc",Arts and Crafts / Musician,"['French / Français (R W S T)', 'Russian / русский язык (R W S T)']",Male,38.0,['2017-05-15'],['2023-12-30'],"
Participant 618273 has the following work experience: A Research and Development in the industry doing Responsible for sales of consumables and molecules labeled with stable isotopes (high value-added products) for various analytical and imaging techniques such as NMR, MS, MRI and PET. Client calls - 40% / Salesforce and Quotations - 40 % / Client Visits - 20% Results: Increase of profits by 53% between 31.12.2018 - 31.12.2017  2019 main achievement - Profits match with previous year, with business diversification to raise a new devision of business as 26% of the profits of the Zone I managed. tasks for 79 months.
They have the following qualifications: Master of Science (M.Sc) in Creativity and Marketing.
They have the following skills: Arts and Crafts / Musician and ✔Various types of art. Studied multiple forms all over the world.
✔Can sing and play Piano
✔MS office, Adobe photoshop, premiere Davinci Resolve video editing, color grading, VR, AI art, Digital painting and computer skill 
MS office, Adobe photoshop, premiere Davinci Resolve video editing, color grading, VR, AI art, Digital painting, etc and know the following languages: French / Français (R W S T).Russian / русский язык (R W S T).
The participant is a Male and 38.0 years old.
"
618269,Sanjeevini wellness center,Assistant of doctor,"['Assisting doctor, handling patients, technical operations, overall flow of the wellness center', 'Market analysis, selling strategist, hiring and training of recruits, overall development of the company.', 'Customer support and problem solving via chat and call.']","['Healthcare', 'Art', 'BPO and KPO']",NA,NA,NA,Google analytics with basic data handling,Arts and Crafts / Actor,"['English (US) (R W S T)', 'Hindi / हिंदी (R W S )']",Male,24.0,"['2024-04-09', '2018-01-02', '2023-02-20']","['NA', '2023-01-26', '2023-12-10']","
Participant 618269 has the following work experience: A Healthcare in the industry doing Assisting doctor, handling patients, technical operations, overall flow of the wellness center tasks. A Art in the industry doing Market analysis, selling strategist, hiring and training of recruits, overall development of the company. tasks for 60 months. A BPO and KPO in the industry doing Customer support and problem solving via chat and call. tasks for 10 months.
They have the following qualifications: NA in NA.
They have the following skills: Arts and Crafts / Actor and NA and computer skill 
Google analytics with basic data handling and know the following languages: English (US) (R W S T).Hindi / हिंदी (R W S ).
The participant is a Male and 24.0 years old.
"
618140,Hong BBQ and Hot Pot,Server,"['Server at a restaurant', 'Server at a restaurant']","['Others', 'Others']",Bachelor - Other,Arts,NA,"Microsoft Word, Powerpoint, Excel, Adobe Photoshop, Adobe Premiere. 
Photography, Videos",Arts and Crafts / Clay Modeller,['English (US) (R W S T)'],Male,27.0,"['2024-10-03', '2022-01-10']","['NA', '2024-01-05']","
Participant 618140 has the following work experience: A Others in the industry doing Server at a restaurant tasks. A Others in the industry doing Server at a restaurant tasks for 24 months.
They have the following qualifications: Bachelor - Other in Arts.
They have the following skills: Arts and Crafts / Clay Modeller and NA and computer skill 
Microsoft Word, Powerpoint, Excel, Adobe Photoshop, Adobe Premiere. 
Photography, Videos and know the following languages: English (US) (R W S T).
The participant is a Male and 27.0 years old.
"
618139,NA,NA,['NA'],['NA'],Bachelor of Arts (B.A.),HUMANITIES,NA,BASIC KNOWLEDGE,Emedia / Active on Social Media,"['Hindi / हिंदी (R W S )', 'English (AU) (R W S T)']",Male,26.0,['NA'],['NA'],"
Participant 618139 has the following work experience: A NA in the industry doing NA tasks.
They have the following qualifications: Bachelor of Arts (B.A.) in HUMANITIES.
They have the following skills: Emedia / Active on Social Media and NA and computer skill 
BASIC KNOWLEDGE and know the following languages: Hindi / हिंदी (R W S ).English (AU) (R W S T).
The participant is a Male and 26.0 years old.
"
618134,Indus Universal School,Drawing and painting Faculty,"['Teaching Art as a subject and beyond', 'Teaching', 'Curating art exhibitions, client deals, gallery management, field works, interior art proposals, website backend end.']","['Teaching', 'Art', 'Art']",Master of Fine Arts (M.F.A.),Painting and visual communication,NA,"Ppts, Excel",Arts and Crafts / Actor,['English (UK) (R W S T)'],Female,28.0,"['2023-06-10', '2021-10-04', '2021-06-14']","['NA', '2023-05-31', '2021-10-01']","
Participant 618134 has the following work experience: A Teaching in the industry doing Teaching Art as a subject and beyond tasks. A Art in the industry doing Teaching tasks for 19 months. A Art in the industry doing Curating art exhibitions, client deals, gallery management, field works, interior art proposals, website backend end. tasks for 4 months.
They have the following qualifications: Master of Fine Arts (M.F.A.) in Painting and visual communication.
They have the following skills: Arts and Crafts / Actor and NA and computer skill 
Ppts, Excel and know the following languages: English (UK) (R W S T).
The participant is a Female and 28.0 years old.
"
618080,Yamuna International Airport Limited,Head Aviation Safety,"['Responsible for conceptualizing, implementing and leading the safety management system for the Airport . It involves setting up processes and driving it centrally through all internal heads (Departments-Airside operations , Airport operations centre, Aircraft rescue and Fire fighting, Engineering and maintainance, Airport safety and security, Cargo operations) and external stakeholders (Airlines/Groundhandlers/Refuellers/Caterers/ Concessionaires, Regulator, other state and centralGovt bodies)', '\uf0fc\tEstablished the new vertical of Safety and brought in the best practices from the Aviation industry. \uf0fc\tLead safety initiatives, developed, implemented and administered programs and processes related to Safety. \uf0fc\tDriven a safe and compliant culture across  with the business partners and customers.', '\uf0fc\tSuccessfully implemented “Integrated Safety Management System (ISMS)’ at Rajiv Gandhi International Airport [IMS 9001, 14001 &18001; British Safety Council’s OH&SMS and ICAO mandated SMS at the Airport.] \uf0fc\tAs a part of the core team-Achieved the British Safety Council’s Health and Safety Management System (SMS) Five star and Sword of Honor with 99% score. Among the first Airport in the world to have achieved the same.  \uf0fc\tDevised and rolled out an Annual Safety plan for the company with deliverables from all departments measured and integrating into the safety office. \uf0fc\tAutomation of the Safety Management System.', '\uf0fc\tSuccessfully implemented “Safety Management System’ at Bengaluru International Airport. \uf0fc\tIncluded implementation of safety objectives and policies, Review of safety parameters in accordance with operational demands, management of safety with the business parameters of minimizing cost, maximizing productivity and achieving an acceptable safety standard across agencies. \uf0fc\tInvestigation and Audits, Safety training and promotions, Safety risk management, Safety assurance, developing ‘Management Information Summaries’ and creating a robust safety culture across agencies formed the core function in the implementation strategy. \uf0fc\tThe Airport is the first in India to have successfully initiated and operationalized the implementation of the Safety Management System as per international and national regulatory standards.', '\uf0fc\tEmployee engagement for a large team in the southern states of Karnataka and Goa, India. \uf0fc\tHiring of Senior Managers and ensuring quality & timely on- boarding of employees. \uf0fc\tMonthly operations dashboards and key management reports. \uf0fc\tInduction-trainings during employee on-boarding process. \uf0fc\tPresided over the promotion boards for Managers through a selection process that involved case studies and role-plays.', '\uf0fc\tAir Traffic services at various military and joint user air bases throughout the country. \uf0fc\tSupervised, trained, examined and rated the junior controllers. \uf0fc\tConducted regular training programmes which included content development, training delivery, conduct of mock exercises and drills for the operational staff including simulated emergencies like Aircraft crash scenario. \uf0fc\tMember of the core operational group in executing International collaborated Air exercises of Military with United States and Singapore Air Force.  \uf0fc\tPresiding officer/Member in the conduct of Court of Inquiries of untoward occurrences or incidents which involved detailed investigations and root cause analysis. \uf0fc\tVice President, Air Force Employees consumer cooperative society, President of Women’s working committee, Officer-in-charge of various non-profit ventures.']","['Others', 'Travel', 'Others', 'Others', 'Insurance', 'Defence Jobs']",Other,Business Administration for Armed forces Officers,NA,Average,Emedia / Active on Social Media,"['English (US) (R W S T)', 'Hindi / हिंदी (R W S T)', 'Malayalam (R W S )', 'Kannada (  S )']",Female,51.0,"['2022-08-10', '2015-07-01', '2012-12-01', '2008-03-01', '2007-05-01', '1996-05-24']","['NA', '2015-12-31', '2014-12-31', '2010-03-31', '2008-03-01', '2007-05-23']","
Participant 618080 has the following work experience: A Others in the industry doing Responsible for conceptualizing, implementing and leading the safety management system for the Airport . It involves setting up processes and driving it centrally through all internal heads (Departments-Airside operations , Airport operations centre, Aircraft rescue and Fire fighting, Engineering and maintainance, Airport safety and security, Cargo operations) and external stakeholders (Airlines/Groundhandlers/Refuellers/Caterers/ Concessionaires, Regulator, other state and centralGovt bodies) tasks. A Travel in the industry doing 	Established the new vertical of Safety and brought in the best practices from the Aviation industry. 	Lead safety initiatives, developed, implemented and administered programs and processes related to Safety. 	Driven a safe and compliant culture across  with the business partners and customers. tasks for 5 months. A Others in the industry doing 	Successfully implemented “Integrated Safety Management System (ISMS)’ at Rajiv Gandhi International Airport [IMS 9001, 14001 &18001; British Safety Council’s OH&SMS and ICAO mandated SMS at the Airport.] 	As a part of the core team-Achieved the British Safety Council’s Health and Safety Management System (SMS) Five star and Sword of Honor with 99% score. Among the first Airport in the world to have achieved the same.  	Devised and rolled out an Annual Safety plan for the company with deliverables from all departments measured and integrating into the safety office. 	Automation of the Safety Management System. tasks for 24 months. A Others in the industry doing 	Successfully implemented “Safety Management System’ at Bengaluru International Airport. 	Included implementation of safety objectives and policies, Review of safety parameters in accordance with operational demands, management of safety with the business parameters of minimizing cost, maximizing productivity and achieving an acceptable safety standard across agencies. 	Investigation and Audits, Safety training and promotions, Safety risk management, Safety assurance, developing ‘Management Information Summaries’ and creating a robust safety culture across agencies formed the core function in the implementation strategy. 	The Airport is the first in India to have successfully initiated and operationalized the implementation of the Safety Management System as per international and national regulatory standards. tasks for 24 months. A Insurance in the industry doing 	Employee engagement for a large team in the southern states of Karnataka and Goa, India. 	Hiring of Senior Managers and ensuring quality & timely on- boarding of employees. 	Monthly operations dashboards and key management reports. 	Induction-trainings during employee on-boarding process. 	Presided over the promotion boards for Managers through a selection process that involved case studies and role-plays. tasks for 10 months. A Defence Jobs in the industry doing 	Air Traffic services at various military and joint user air bases throughout the country. 	Supervised, trained, examined and rated the junior controllers. 	Conducted regular training programmes which included content development, training delivery, conduct of mock exercises and drills for the operational staff including simulated emergencies like Aircraft crash scenario. 	Member of the core operational group in executing International collaborated Air exercises of Military with United States and Singapore Air Force.  	Presiding officer/Member in the conduct of Court of Inquiries of untoward occurrences or incidents which involved detailed investigations and root cause analysis. 	Vice President, Air Force Employees consumer cooperative society, President of Women’s working committee, Officer-in-charge of various non-profit ventures. tasks for 132 months.
They have the following qualifications: Other in Business Administration for Armed forces Officers.
They have the following skills: Emedia / Active on Social Media and NA and computer skill 
Average and know the following languages: English (US) (R W S T).Hindi / हिंदी (R W S T).Malayalam (R W S ).Kannada (  S ).
The participant is a Female and 51.0 years old.
"
617968,NA,NA,['NA'],['NA'],NA,NA,NA,",n",Arts and Crafts / Actor,['Arabic / الْعَرَبيّة ( W S T)'],Female,23.0,['NA'],['NA'],"
Participant 617968 has the following work experience: A NA in the industry doing NA tasks.
They have the following qualifications: NA in NA.
They have the following skills: Arts and Crafts / Actor and NA and computer skill 
,n and know the following languages: Arabic / الْعَرَبيّة ( W S T).
The participant is a Female and 23.0 years old.
"
617949,Adzefitnessstudio,Fitness manger &coach,['Management'],['Consulting'],SSLC/10,NA,NA,Basic,Emedia / Active on Social Media,['English (US) (R W S T)'],Male,27.0,['2018-06-09'],['NA'],"
Participant 617949 has the following work experience: A Consulting in the industry doing Management tasks.
They have the following qualifications: SSLC/10 in NA.
They have the following skills: Emedia / Active on Social Media and NA and computer skill 
Basic and know the following languages: English (US) (R W S T).
The participant is a Male and 27.0 years old.
"
617897,"The school, Krishnamurti Foundation India",Teaching staff,"['Middle school (Science and Math)', 'Classes 5, 6, 7 and 8 (Science)']","['Teaching', 'Teaching']",Bachelor of Engineering (B.E.),Electronics and communication,NA,Basic word and excel,Emedia / Active on Social Media,"['English (US) (R W S T)', 'Hindi / हिंदी (R W S )']",Female,26.0,"['2020-06-10', '2019-09-01']","['NA', '2020-06-10']","
Participant 617897 has the following work experience: A Teaching in the industry doing Middle school (Science and Math) tasks. A Teaching in the industry doing Classes 5, 6, 7 and 8 (Science) tasks for 9 months.
They have the following qualifications: Bachelor of Engineering (B.E.) in Electronics and communication.
They have the following skills: Emedia / Active on Social Media and NA and computer skill 
Basic word and excel and know the following languages: English (US) (R W S T).Hindi / हिंदी (R W S ).
The participant is a Female and 26.0 years old.
"
617885,Bharathi Cement,Data entry,['NA'],['Manufacturing'],Bachelor of Computer Application (B.C.A.),NA,"C, C++","Ms office, Typing speed of 45 wpm, Computer networking, programming C language",Basic Computer Skills / Basic Computer (MS Office and Email) Skills,['English (UK) (R W S T)'],Male,23.0,['2023-05-05'],['2023-09-05'],"
Participant 617885 has the following work experience: A Manufacturing in the industry doing NA tasks for 4 months.
They have the following qualifications: Bachelor of Computer Application (B.C.A.) in NA.
They have the following skills: Basic Computer Skills / Basic Computer (MS Office and Email) Skills and C, C++ and computer skill 
Ms office, Typing speed of 45 wpm, Computer networking, programming C language and know the following languages: English (UK) (R W S T).
The participant is a Male and 23.0 years old.
"
617822,NA,NA,['NA'],['NA'],NA,NA,NA,not good,Medical / Allopathy Doctor,['Arabic / الْعَرَبيّة (R W S T)'],Male,34.0,['NA'],['NA'],"
Participant 617822 has the following work experience: A NA in the industry doing NA tasks.
They have the following qualifications: NA in NA.
They have the following skills: Medical / Allopathy Doctor and NA and computer skill 
not good and know the following languages: Arabic / الْعَرَبيّة (R W S T).
The participant is a Male and 34.0 years old.
"
617813,NA,NA,['NA'],['NA'],Bachelor of Science (B.Sc),Mathematics Physics Chemistry,Preaparing for UPSC,I don't have any computer skills,Emedia / Active on Social Media,"['English (AU) (R W S T)', 'Telugu / తెలుగు (R W S T)', 'Hindi / हिंदी (R W S T)']",Male,24.0,['NA'],['NA'],"
Participant 617813 has the following work experience: A NA in the industry doing NA tasks.
They have the following qualifications: Bachelor of Science (B.Sc) in Mathematics Physics Chemistry.
They have the following skills: Emedia / Active on Social Media and Preaparing for UPSC and computer skill 
I don't have any computer skills and know the following languages: English (AU) (R W S T).Telugu / తెలుగు (R W S T).Hindi / हिंदी (R W S T).
The participant is a Male and 24.0 years old.
"
617804,NA,NA,['NA'],['NA'],Bachelor of Technology (B.Tech),Aerospace technology,Languages,"Excel,Documentation, PPT,MS Office, Copy writing",Arts and Crafts / Actor,"['Tamil (R W S T)', 'English (US) (R W S T)', 'Korean (KR) / 한국어 (KR) (R W S T)', 'Hindi / हिंदी (R W S T)', 'Russian / русский язык (R W S T)']",Female,26.0,['NA'],['NA'],"
Participant 617804 has the following work experience: A NA in the industry doing NA tasks.
They have the following qualifications: Bachelor of Technology (B.Tech) in Aerospace technology.
They have the following skills: Arts and Crafts / Actor and Languages and computer skill 
Excel,Documentation, PPT,MS Office, Copy writing and know the following languages: Tamil (R W S T).English (US) (R W S T).Korean (KR) / 한국어 (KR) (R W S T).Hindi / हिंदी (R W S T).Russian / русский язык (R W S T).
The participant is a Female and 26.0 years old.
"
617791,Mahalakshmi Industries,Process Engineer,"['Managing the Manufacturing process of Industrial cleaning brushes and adhesives, From raw material procumbent till supply of finished goods.']",['Manufacturing'],Bachelor of Technology (B.Tech),Mechatronics,NA,3D CAD,Emedia / Active on Social Media,"['English (UK) (R W S T)', 'Chinese (Traditional) / 繁體中文 (R W S T)']",Male,25.0,['2021-04-01'],['NA'],"
Participant 617791 has the following work experience: A Manufacturing in the industry doing Managing the Manufacturing process of Industrial cleaning brushes and adhesives, From raw material procumbent till supply of finished goods. tasks.
They have the following qualifications: Bachelor of Technology (B.Tech) in Mechatronics.
They have the following skills: Emedia / Active on Social Media and NA and computer skill 
3D CAD and know the following languages: English (UK) (R W S T).Chinese (Traditional) / 繁體中文 (R W S T).
The participant is a Male and 25.0 years old.
"
617774,Mushroom cultivation,I started the agribusiness in the ambitious to revolutionise  the use of modern technology in farming and vared high profit crop cultivation in my local area which will transcend the economic structure of my village areas,['I my early stage so i handle the workforces desperately'],['Agriculture'],Bachelor of Arts (B.A.),Agribusiness,NA,Yes,Emedia / Active on Social Media,['English (UK) (R W S )'],Male,22.0,['2022-09-01'],['NA'],"
Participant 617774 has the following work experience: A Agriculture in the industry doing I my early stage so i handle the workforces desperately tasks.
They have the following qualifications: Bachelor of Arts (B.A.) in Agribusiness.
They have the following skills: Emedia / Active on Social Media and NA and computer skill 
Yes and know the following languages: English (UK) (R W S ).
The participant is a Male and 22.0 years old.
"
617744,Genpact India,Process Associate,['NA'],"['Accounts', 'Accounts', 'Banking and Financial Services']",Bachelor of Commerce (B.Com),NA,NA,"Excel, Ms word",Emedia / Active on Social Media,"['Hindi / हिंदी (R W S T)', 'English (UK) (R W S T)']",Male,33.0,"['2015-05-25', '2018-10-17', '2021-10-01']","['2016-10-29', '2019-08-03', '2022-02-28']","
Participant 617744 has the following work experience: A Accounts in the industry doing NA tasks for 17 months.
They have the following qualifications: Bachelor of Commerce (B.Com) in NA.
They have the following skills: Emedia / Active on Social Media and NA and computer skill 
Excel, Ms word and know the following languages: Hindi / हिंदी (R W S T).English (UK) (R W S T).
The participant is a Male and 33.0 years old.
"
617730,xAble,"Founder, Trainer","['Teaching Java, DSA, Full Stack Web Development, Cyber Security']",['Teaching'],Bachelor of Technology (B.Tech),CSE,NA,"Microsoft Office 
HTML, CSS, JavaScript, React, Java, Python, CyberSecurity",Engineering / Computer Science Engineer,['English (US) (R W S T)'],Male,27.0,['2022-02-25'],['2023-06-25'],"
Participant 617730 has the following work experience: A Teaching in the industry doing Teaching Java, DSA, Full Stack Web Development, Cyber Security tasks for 16 months.
They have the following qualifications: Bachelor of Technology (B.Tech) in CSE.
They have the following skills: Engineering / Computer Science Engineer and NA and computer skill 
Microsoft Office 
HTML, CSS, JavaScript, React, Java, Python, CyberSecurity and know the following languages: English (US) (R W S T).
The participant is a Male and 27.0 years old.
"
617699,NA,NA,['NA'],['NA'],Bachelor of Arts (B.A.),Geography Honours,NA,Basic computer skills,Emedia / Active on Social Media,['English (US) (R W S T)'],Female,22.0,['NA'],['NA'],"
Participant 617699 has the following work experience: A NA in the industry doing NA tasks.
They have the following qualifications: Bachelor of Arts (B.A.) in Geography Honours.
They have the following skills: Emedia / Active on Social Media and NA and computer skill 
Basic computer skills and know the following languages: English (US) (R W S T).
The participant is a Female and 22.0 years old.
"
617662,Nielsen IQ,Senior analyst,"['Writing and reviewing monthly, weekly reports, calling, data analysis, taking part in consumer research. Preparing questionnaire for research etc.', 'Preparing various research reports, data forecast, industry forecasting, cold calling, data analysis, and handling client queries.']","['Consulting', 'Consulting']",Master of Business Administration (M.B.A.),Marketing,NA,"Well versed with MS office (PPT, word, excel and others)  
Data analysis, managing large amounts of data, working on data portals and more.",Emedia / Active on Social Media,['English (UK) (R W S T)'],Female,27.0,"['2022-08-08', '2020-02-17']","['NA', '2022-08-06']","
Participant 617662 has the following work experience: A Consulting in the industry doing Writing and reviewing monthly, weekly reports, calling, data analysis, taking part in consumer research. Preparing questionnaire for research etc. tasks. A Consulting in the industry doing Preparing various research reports, data forecast, industry forecasting, cold calling, data analysis, and handling client queries. tasks for 30 months.
They have the following qualifications: Master of Business Administration (M.B.A.) in Marketing.
They have the following skills: Emedia / Active on Social Media and NA and computer skill 
Well versed with MS office (PPT, word, excel and others)  
Data analysis, managing large amounts of data, working on data portals and more. and know the following languages: English (UK) (R W S T).
The participant is a Female and 27.0 years old.
"
617657,NA,NA,['NA'],['NA'],HSC/12,NA,NA,"Basic knowledge of computer programs like MS Word, MS Excel, photoshop, paint",Emedia / Active on Social Media,"['Hindi / हिंदी (R W S T)', 'English (UK) (R W S T)']",Male,21.0,['NA'],['NA'],"
Participant 617657 has the following work experience: A NA in the industry doing NA tasks.
They have the following qualifications: HSC/12 in NA.
They have the following skills: Emedia / Active on Social Media and NA and computer skill 
Basic knowledge of computer programs like MS Word, MS Excel, photoshop, paint and know the following languages: Hindi / हिंदी (R W S T).English (UK) (R W S T).
The participant is a Male and 21.0 years old.
"
617647,NA,NA,['NA'],['NA'],Bachelor of Business Administration (B.B.A.),General,NA,"Canva, MS Word, To be honest I don't have a lot of computer knowledge just basic things I can do",General / Cook/ Chef,"['Hindi / हिंदी (R W S T)', 'English (US) (R W S T)']",Male,23.0,['NA'],['NA'],"
Participant 617647 has the following work experience: A NA in the industry doing NA tasks.
They have the following qualifications: Bachelor of Business Administration (B.B.A.) in General.
They have the following skills: General / Cook/ Chef and NA and computer skill 
Canva, MS Word, To be honest I don't have a lot of computer knowledge just basic things I can do and know the following languages: Hindi / हिंदी (R W S T).English (US) (R W S T).
The participant is a Male and 23.0 years old.
"
617646,Yes bank ltd,Manager,"['Affluent Relationship manager, Wealth management of HNI clients', 'Affluent Relationship manager, Wealth management for HNI Clients']","['Banking and Financial Services', 'Banking and Financial Services']",Bachelor of Commerce (B.Com),Economics,NA,PG Diploma in Computer application,IT / Data Analyst,"['Hindi / हिंदी (R W S T)', 'English (UK) (R W S T)']",Male,29.0,"['2024-09-03', '2022-09-15']","['NA', '2024-05-13']","
Participant 617646 has the following work experience: A Banking and Financial Services in the industry doing Affluent Relationship manager, Wealth management of HNI clients tasks. A Banking and Financial Services in the industry doing Affluent Relationship manager, Wealth management for HNI Clients tasks for 20 months.
They have the following qualifications: Bachelor of Commerce (B.Com) in Economics.
They have the following skills: IT / Data Analyst and NA and computer skill 
PG Diploma in Computer application and know the following languages: Hindi / हिंदी (R W S T).English (UK) (R W S T).
The participant is a Male and 29.0 years old.
"
617639,Tele performance,Customer Service Executive,"['Handling technical customer issues on the front end.', 'Creating sales pitches and pitching them to the customer for new sales and upsells..']","['BPO and KPO', 'Sales']",Bachelor of Arts (B.A.),Psychology and English,NA,"Beginner Level Python and Java  
MS Office including Word, Excel, Powerpoint",Basic Computer Skills / Basic Computer (MS Office and Email) Skills,"['Tamil (R W S T)', 'English (UK) (R W S T)', 'Hindi / हिंदी (R W S T)', 'Telugu / తెలుగు (R W S T)', 'Kannada (R W S T)']",Male,28.0,"['2019-10-01', '2021-02-01']","['2020-12-31', '2021-06-30']","
Participant 617639 has the following work experience: A BPO and KPO in the industry doing Handling technical customer issues on the front end. tasks for 14 months. A Sales in the industry doing Creating sales pitches and pitching them to the customer for new sales and upsells.. tasks for 4 months.
They have the following qualifications: Bachelor of Arts (B.A.) in Psychology and English.
They have the following skills: Basic Computer Skills / Basic Computer (MS Office and Email) Skills and NA and computer skill 
Beginner Level Python and Java  
MS Office including Word, Excel, Powerpoint and know the following languages: Tamil (R W S T).English (UK) (R W S T).Hindi / हिंदी (R W S T).Telugu / తెలుగు (R W S T).Kannada (R W S T).
The participant is a Male and 28.0 years old.
"
617631,Reletive,Medical,['Practice in  pharmacy shop'],['Medical'],Diploma,pharmacist,NA,Diploma (D.F.A) Course,Emedia / Active on Social Media,['Hindi / हिंदी (R W S T)'],Male,30.0,['2024-06-25'],['NA'],"
Participant 617631 has the following work experience: A Medical in the industry doing Practice in  pharmacy shop tasks.
They have the following qualifications: Diploma in pharmacist.
They have the following skills: Emedia / Active on Social Media and NA and computer skill 
Diploma (D.F.A) Course and know the following languages: Hindi / हिंदी (R W S T).
The participant is a Male and 30.0 years old.
"
617548,NA,NA,['NA'],['NA'],Master of Arts (M.A.),No,NA,No,Emedia / Active on Social Media,['Tamil (R W S T)'],Female,47.0,['NA'],['NA'],"
Participant 617548 has the following work experience: A NA in the industry doing NA tasks.
They have the following qualifications: Master of Arts (M.A.) in No.
They have the following skills: Emedia / Active on Social Media and NA and computer skill 
No and know the following languages: Tamil (R W S T).
The participant is a Female and 47.0 years old.
"
