Request Name,Job Title,Job Description,Department,Gender Preference,# of Volunteers,Stage,Skills/Keywords,Add'l Skills,Languages,Work Experience Needed?,Number of Years,Educational Qualification
,,,,,,,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,,,,,
,,,,,,,,,English (US),,,
,,,,,,,,,Tamil,,,
Communications - Social media Manager - 2431,Social media Manager,"Prior experience or interest in Social Media. Understanding of social media platforms, trends, and analytics.",Rally for Rivers / Cauvery Calling / Communications,Any,1,Approved,Emedia / Active on Social Media,Soft Skills / Articulate in communication,English (US),0,,Bachelor - Other
,,,,,,,Media and Communication / Creative Writer,,,,,
,,,,,,,,Soft Skills / Enthusiastic,,,,
,,,,,,,,Emedia / Search Engine Optimization (SEO),,,,
,,,,,,,,,Tamil,,,
Ashram Clinic - Physiotherapist - 2432,Physiotherapist,To assess and treat the patients who need physio support,Ashram Clinic,Any,1,Approved,Medical / Physiotherapist,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,English (UK),1,0 ~ 5,Master of Physiotherapy (M.P.T)
,,,,,,,,,Tamil,,,
Thaimann Kakkum Vivasayam - Farming support - 2433,Farming support,Good to have knowledge and experience in organic farming. We need people who are passionate to work in the field.,Save Soil,Any,5,Approved,Environment / Agriculture/ Farmer,Soft Skills / Enthusiastic,English (US),0,,None
,,,,,,,Soft Skills / Fit for Physical Seva,,,,,
,,,,,,,,,Tamil,,,
Ashram Clinic - Allopathy Doctor - 2435,Allopathy Doctor,To assess the patients diagnose and treat them accordingly,Ashram Clinic,Any,10,Approved,Medical / Allopathy Doctor,Soft Skills / Articulate in communication,English (UK),1,0 ~ 5,Doctor of Medicine (M.D.)
,,,,,,,,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,,,,
,,,,,,,,,Tamil,,,
,,,,,,,,,Hindi / हिंदी,,,
Ashram Clinic - Nurse - 2436,Nurse,To provide treatment and care to patients as directed by the treating physician,Ashram Clinic,Any,1,Approved,Soft Skills / Articulate in communication,Soft Skills / Articulate in communication,English (UK),1,0 ~ 5,
,,,,,,,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,,,,,
,,,,,,,,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,,,,
,,,,,,,,,Tamil,,,
Ashram Clinic - Pharmacist - 2437,Pharmacist,To check the prescriptions and dispense medicines as directed by the physicians,Ashram Clinic,Any,4,Approved,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,Soft Skills / Articulate in communication,English (UK),1,0 ~ 5,Bachelor of Pharmacy (B. Pharma)
,,,,,,,Medical / Pharmacist,,,,,
,,,,,,,,,Tamil,,,
Back office - Administrative Activities (Back Office) - 2438,Administrative Activities (Back Office),"Calling, handling email communications, basic computer activities, bookkeeping, data entry, maintaining database, scanning documents, managing inventory, storekeeping, scheduling meetings, organization, time management, and basic report making.",Rally for Rivers / Cauvery Calling / Back office,Any,1,Approved,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,,English (US),0,,None
,,,,,,,,,Tamil,,,
,,,,,,,,,Hindi / हिंदी,,,
Thaimann Kakkum Vivasayam - Farming support - 2439,Farming support,"Farm activities like seed sowing, harvesting, weeding",Save Soil / Thaimann Kakkum Vivasayam,Any,10,Approved,Soft Skills / Fit for Physical Seva,,English (US),0,,None
,,,,,,,,,Tamil,,,
,,,,,,,,,Kannada,,,
,,,,,,,,,Hindi / हिंदी,,,
Ashram Clinic - Front Office Activities - 2440,Front Office Activities,"To receive patients, make necessary entries, guide them to the consultation rooms, attend to the phone calls and guide the patients on their queries",Ashram Clinic,Any,4,Approved,Soft Skills / Articulate in communication,,English (UK),1,0 ~ 5,Bachelor - Other
,,,,,,,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,,,,,
,,,,,,,,,Tamil,,,
,,,,,,,,,Hindi / हिंदी,,,
Nurseries - TN - SPP & DP - Nursery Support - 2441,Nursery Support,"Watering, soil filling, sapling shifting activities.",Rally for Rivers / Cauvery Calling / Nurseries - TN - SPP & DP,Any,10,Approved,Soft Skills / Fit for Physical Seva,,English (US),0,,None
,,,,,,,,,Tamil,,,
,,,,,,,,,Hindi / हिंदी,,,
Research & Technical team - Researcher - 2442,Researcher,"# Has excellent research, analytical, writing & presentation skills.
# Possesses a strong understanding of ecological principles and environmental challenges.
# Demonstrates a keen interest in nature-based solutions and their potential to address sustainability issues.
# Supporting project development: Assisting senior consultants with research, data analysis, feasibility studies, and stakeholder engagement for global Save Soil projects.
# Contributing to technical reports, proposals and presentations
# Engaging with clients and stakeholders: Participating in meetings, workshops, and site visits to gather information, understand needs, and build relationships.
# Staying up-to-date on the latest advancements in global soil health: Actively learning about context-specific NBS technologies, methodologies, and best practices.
# Contributing to internal knowledge sharing: Assisting with the development of internal resources and training materials related to Nature-based solutions",Save Soil / Research & Technical team,Any,5,Approved,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,,English (US),1,0 ~ 5,Bachelor - Other
,,,,,,,General / Researcher,,,,,
Cauvery Calling - Data Analyst - 2443,Data Analyst,"Support to the MIS team, part of the Cauvery Calling Department in Isha Yoga Center, Coimbatore, in reviewing operational processes, files and reports of all verticals in the Project. Preferably with 0-2 Years of work experience in accounting/data management / MIS & Reporting / Data Analytics",Rally for Rivers / Cauvery Calling,Any,1,Approved,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,Accounting / Chartered Accountant,English (US),1,0 ~ 5,Bachelor - Other
,,,,,,,IT / Data Analyst,,,,,
,,,,,,,,,Tamil,,,
Thaimann Kakkum Vivasayam - Call Centre - 2444,Call Centre,Follow-up farmers through phone calls and billing entries.,Save Soil / Thaimann Kakkum Vivasayam,Female,1,Approved,Media and Communication / BPO,,English (US),1,0 ~ 5,Bachelor - Other
,,,,,,,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,,,,,
,,,,,,,,,Tamil,,,
Guest care - Data Analyst - 2445,Data Analyst,"- Tasked with designing, developing, and maintaining complex spreadsheet systems using Google Sheets.
- Proficient in creating custom formulas, scripts, and automation to optimize workflows and streamline processes.
- Responsible for analyzing data sets using Google Sheets, creating complex formulas and functions to derive insights, and developing visualizations for reporting purposes.
- Proficient in manipulating large datasets, conducting data cleansing, and ensuring data accuracy within Google Sheets or similar spreadsheet platforms (Appsheet)
- Tasked with designing, developing, and maintaining complex spreadsheet systems using Google Sheets.

** Can maintain data confidentiality (trustable with sensitive VIP data)
** Preferably someone who has volunteered before",IYC Communications / Guest care,Any,1,Approved,Soft Skills / Articulate in communication,,,0,,
Guest care - Content Manager - 2446,Content Manager,"Content Writer, Content Manager, Researcher, Project Manager (Music Related)

Experienced in the music or entertainment industry. Experience working as an artist or entertainment manager, A&R in music, creative direction / project management / brand building for music projects, and basic graphic design and Google office skills. Support of this volunteer will be required for the upcoming conscious planet movt.",IYC Communications / Guest care,Any,1,Approved,Soft Skills / Articulate in communication,,English (US),1,6 ~ 10,
,,,,,,,Media and Communication / Communication Trainer,,,,,
,,,,,,,Arts and Crafts / Musician,,,,,
Isha Rural Health Clinic - Allopathy Doctor - 2447,Allopathy Doctor,Need Doctors for the Muttathuvayal Tribal Clinic,Outreach / Isha Rural Health Clinic,Any,2,Approved,Medical / Allopathy Doctor,Soft Skills / Fit for Physical Seva,Tamil,1,0 ~ 5,Bachelor of Medicine and Bachelor of Surgery (M.B.B.S.)
,,,,,,,,,English (US),,,
Isha Rural Health Clinic - Dentist - 2448,Dentist,Dentist for Alandurai Rural Clinic,Outreach / Isha Rural Health Clinic,Any,1,Approved,Medical / Dentist,Soft Skills / Articulate in communication,Tamil,1,0 ~ 5,Bachelor of Dental Science (B.D.S.)
,,,,,,,,,English (US),,,
Isha Rural Health Clinic - On ground Support - 2449,On ground Support,"Need organising and administration support for the 2 Isha Rural Health Clinics in Coimbatore. Support might include facilitating the shifting of patients from the villages to Isha/Outside clinics, Taking care of the Herbal Garden etc...",Outreach / Isha Rural Health Clinic,Any,2,Approved,Soft Skills / Fit for Physical Seva,,Tamil,0,,
,,,,,,,,,English (US),,,
Isha Rural Health Clinic - Content Writer - 2450,Content Writer,"Who can support in writing reports especially donor reports, creating newsletters etc..",Outreach / Isha Rural Health Clinic,Any,1,Approved,Media and Communication / Content Writer,IT / Data Analyst,Tamil,0,,
,,,,,,,,,English (US),,,
TN Media - Guest Care Support - 2451,Guest Care Support,"""""""Key Responsibilities:
- Guest Engagement : Greet guests warmly and assist them with any inquiries, requests, or concerns, take them on an ashram tour, and - - ensure a welcoming and friendly atmosphere during their whole time at IYC.
Information Resource: Provide accurate information about the ashram spaces, Isha’s projects, programs and anything else that might come up.
- Communication: Maintain clear and open communication with guests through various channels, including in-person, phone, email, or chat.
- Booking and Reservation Assistance: Assist guests in making reservations, bookings, for cottage, cab and programs/rituals. 
Feedback Collection: Collect and record guest feedback and reviews, forwarding valuable insights to the relevant teams for continuous improvement.
- Emergency Response: Be knowledgeable about emergency procedures and assist in handling guest-related emergencies calmly and efficiently.
- Record Keeping: Maintain detailed records of guest interactions and transactions, ensuring accuracy and confidentiality.
- Team Collaboration: Collaborate closely with other departments to coordinate guest services and resolve issues effectively.

Requirements:
Strong interpersonal and communication skills, proficiency in speaking and reading Tamil and English
Empathy and a genuine desire to make sure guests experience the ashram in the best way possible
Ability to remain calm and composed in high-pressure situations.
Excellent problem-solving skills and attention to detail.
Flexibility to be available at all hours when required on certain days.
""""""",IYC Communications / TN Media,Any,20,Approved,General / Hospitality/ Hotel Manager,,,0,,
Construction - LSP - Product/ Mechanical Engineer - 2452,Product/ Mechanical Engineer,"Will be using Solid works or Inventor to make 3D models of temple production products, carpentry furniture etc.",Construction - LSP,Any,2,Approved,Arts and Crafts / Carpenter,Construction & Fabrication / Architect,Tamil,0,,Bachelor of Engineering (B.E.)
,,,,,,,Engineering / Industrial Engineer,,,,,
,,,,,,,Engineering / Mechanial Engineer,,,,,
,,,,,,,,Engineering / Mechanial Engineer,,,,
Construction - LSP - Administrative Activities (Back Office) - 2453,Administrative Activities (Back Office),Will be doing back office accounting work,Construction - LSP,Any,6,Approved,Accounting / Basic Accountancy,,Tamil,0,,
Construction - LSP - Architect - 2454,Architect,"Architectural Drawings for Multi-Storied building and Independent houses. 
Would be good to have some exposure to MEP design
Should know to use Sketchup or AutoCad
May work on Interior designs",Construction - LSP,Any,6,Approved,Construction & Fabrication / Architect,,Tamil,0,,
Construction - LSP - Structural Engineer - 2456,Structural Engineer,"Perform ETABS or Staad analysis of RCC or Steel Structural buildings
Must have 2 years of experience
Must know how to use AutoCAD
Advantage if the person knows Inventor or Solidworks",Construction - LSP,Any,2,Approved,Engineering / Engineering - Others,,,1,0 ~ 5,Bachelor of Engineering (B.E.)
,,,,,,,Engineering / Mechanial Engineer,,,,,
,,,,,,,Construction & Fabrication / Structural Engineer,,,,,
Archives - Transcription - 2457,Transcription,"1. English - Backlog Transcription, completing Tamil content in English files.
2. Tamil - Proofreading backlog files, completing English content in Tamil files
3. Edited - Proofreading backlog files",Archives,Any,30,Approved,Media and Communication / Content Writer,,English (US),1,0 ~ 5,None
,,,,,,,Media and Communication / Creative Writer,,,,,
,,,,,,,,,Tamil,,,
Construction - LSP - Civil Estimators - 2458,Civil Estimators,"Should be able to supervise Site activities
Should be able to estimate material needed for civil or steel structures",Construction - LSP,Any,3,Approved,Construction & Fabrication / Construction - Others,,,0,,
Construction - LSP - Product/Furniturer/Interior Designer - 2459,Product/Furniturer/Interior Designer,Interior Designers,Construction - LSP,Any,2,Approved,Construction & Fabrication / Interior Design,,,0,,
Construction - LSP - Mechanical/Automobile Engineer - 2460,Mechanical/Automobile Engineer,Automobile Expert,Construction - LSP,Any,1,Approved,Engineering / Automobile Engineer,,,0,,
,,,,,,,Engineering / Mechanial Engineer,,,,,
Construction - LSP - Site Supervisor - 2461,Site Supervisor,Construction Site Supervising,Construction - LSP,Any,6,Approved,Construction & Fabrication / Construction - Others,,Tamil,0,,Bachelor of Engineering (B.E.)
,,,,,,,Construction & Fabrication / Construction Supervisor,,,,,
Construction - LSP - Chemical/ Paint Engineer - 2462,Chemical/ Paint Engineer,For painting Department,Construction - LSP,Any,1,Approved,Engineering / Engineering - Others,,,0,,
Construction - LSP - Illustrator - 2463,Illustrator,Support illustration related to construction aesthetics,Construction - LSP,Any,1,Approved,Arts and Crafts / Painter,,,0,,
Archives - Data Analyst - 2464,Data Analyst,"- Conduct meticulous analysis of various datasets to identify and correct data inaccuracies and inconsistencies.
- Design and implement data validation rules and cleanup procedures, ensuring data quality and reliability.
- Perform regular data audits to assess the accuracy and integrity of the data, making corrections as needed.
- Maintain a repository of data quality issues and corresponding resolutions for reference and process improvement.",Archives,Any,6,Approved,IT / Data Analyst,,English (US),1,0 ~ 5,None
,,,,,,,Basic Computer Skills / Data Entry skills,,,,,
,,,,,,,,,Hindi / हिंदी,,,
,,,,,,,,,Telugu / తెలుగు,,,
,,,,,,,,,Kannada,,,
,,,,,,,,,Tamil,,,
,,,,,,,,,Marathi,,,
,,,,,,,,,Gujarati / ગુજરાતી,,,
,,,,,,,,,Oriya,,,
,,,,,,,,,Malayalam,,,
,,,,,,,,,Nepali,,,
Emedia Operations - Project Manager - 2465,Project Manager,Keeping track of all the action items across projects and verticals. Follow up with the various stakeholders to ensure the open items are getting closed on time. This is for Isha Websites,E-Media Panel / Emedia Operations,Any,1,Approved,IT / Project Manager,,,0,,
Emedia Operations - Google Tag Manager / Google Analytics Specialist - 2466,Google Tag Manager / Google Analytics Specialist,Has prior experience in Google Analytics. Support for setting up analytics platforms and tag implementation.,E-Media Panel / Emedia Operations,Any,1,Approved,Emedia / Google Analytics,,,0,,
,,,,,,,Emedia / Google Tag Manager,,,,,
Emedia Operations - Data Analyst - 2467,Data Analyst,"Analysing data, providing insights, and reporting, has prior data analyst experience",E-Media Panel / Emedia Operations,Any,1,Approved,IT / Data Analyst,,,0,,
Emedia Operations - Data Scientist - 2468,Data Scientist,"Prior experience as a Data scientist. Knowledge of Data Analysis, Model Development, Visualization, and Reporting",E-Media Panel / Emedia Operations,Any,1,Approved,IT / Data Analyst,,,0,,
Emedia Operations - Business Analyst (BA) - 2469,Business Analyst (BA),"1. Prior experience in Requirements capture & documenting. 
2. Good Communication skills
3. Analytical thinking",E-Media Panel / Emedia Operations,Any,1,Approved,IT / Business Analyst,,,0,,
Emedia Operations - Paid Ads Expert - 2470,Paid Ads Expert,"Experience with running paid ads and worked on client side or digital agency. Help support the paid team in planning & executing paid ad for various Ad campaigns on Google, Facebook, Instagram, YouTube, LinkedIn etc.",E-Media Panel / Emedia Operations,Any,2,Approved,"Emedia / Pay Per Click (PPC), Google/ Facebook Ads",,,0,,
Emedia Operations - Social media Manager - 2471,Social media Manager,"Prepare and execute the content calendar for assigned social media platforms 
Ensure high quality of content in the posts 
Regular & consistent posting on the platform
Ensure social media target is achieved with a strong action plan 
Track analytics regularly, generate reports to communicate performance
Understand platform tactics/operations and execute
Develop insights on post performance over time
Follow best practices guideline
Coordinate with other teams for creatives and communications",E-Media Panel / Emedia Operations,Any,1,Approved,Emedia / Active on Social Media,,Arabic / الْعَرَبيّة,1,0 ~ 5,
,,,,,,,Emedia / Influencer,,,,,
,,,,,,,Emedia / Social Media Campaigns,,,,,
Emedia Operations - Platform Manager - 2472,Platform Manager,"Responsibilities:
Prepare and execute the content calendar for assigned social media platforms 
Ensure high quality of content in the posts 
Regular & consistent posting on the platform
Ensure social media target is achieved with a strong action plan 
Track analytics regularly, generate reports to communicate performance
Understand platform tactics/operations and execute
Develop insights on post performance over time
Follow best practices guideline
Coordinate with other teams for creatives and communications",E-Media Panel / Emedia Operations,Any,3,Approved,Emedia / Active on Social Media,,Arabic / الْعَرَبيّة,0,,
,,,,,,,Emedia / Influencer,,,,,
,,,,,,,Emedia / Social Media Campaigns,,,,,
Emedia Operations - Platform Manager - 2473,Platform Manager,"Responsibilities:
Prepare and execute the content calendar for assigned social media platforms 
Ensure high quality of content in the posts 
Regular & consistent posting on the platform
Ensure social media target is achieved with a strong action plan 
Track analytics regularly, generate reports to communicate performance
Understand platform tactics/operations and execute
Develop insights on post performance over time
Follow best practices guideline
Coordinate with other teams for creatives and communications",E-Media Panel / Emedia Operations,Any,4,Approved,Emedia / Active on Social Media,,Spanish / Español,0,,
,,,,,,,Emedia / Influencer,,,,,
,,,,,,,Emedia / Social Media Campaigns,,,,,
Emedia Operations - Platform Manager - 2474,Platform Manager,"Pinterest

Responsibilities:
Prepare and execute the content calendar for assigned social media platforms 
Ensure high quality of content in the posts 
Regular & consistent posting on the platform
Ensure social media target is achieved with a strong action plan 
Track analytics regularly, generate reports to communicate performance
Understand platform tactics/operations and execute
Develop insights on post performance over time
Follow best practices guideline
Coordinate with other teams for creatives and communications",E-Media Panel / Emedia Operations,Any,1,Approved,Emedia / Active on Social Media,,English (US),0,,
,,,,,,,Emedia / Influencer,,,,,
,,,,,,,Emedia / Social Media Campaigns,,,,,
Emedia Operations - Platform Manager - 2475,Platform Manager,"GMB

Responsibilities:
Prepare and execute the content calendar for assigned social media platforms 
Ensure high quality of content in the posts 
Regular & consistent posting on the platform
Ensure social media target is achieved with a strong action plan 
Track analytics regularly, generate reports to communicate performance
Understand platform tactics/operations and execute
Develop insights on post performance over time
Follow best practices guideline
Coordinate with other teams for creatives and communications",E-Media Panel / Emedia Operations,Any,1,Approved,Emedia / Active on Social Media,,English (US),0,,
,,,,,,,Emedia / Influencer,,,,,
,,,,,,,Emedia / Social Media Campaigns,,,,,
Emedia Operations - Platform Manager - 2476,Platform Manager,"Responsibilities:
Prepare and execute the content calendar for assigned social media platforms 
Ensure high quality of content in the posts 
Regular & consistent posting on the platform
Ensure social media target is achieved with a strong action plan 
Track analytics regularly, generate reports to communicate performance
Understand platform tactics/operations and execute
Develop insights on post performance over time
Follow best practices guideline
Coordinate with other teams for creatives and communications",E-Media Panel / Emedia Operations,Any,1,Approved,Emedia / Active on Social Media,,Telugu / తెలుగు,0,,
,,,,,,,Emedia / Influencer,,,,,
,,,,,,,Emedia / Social Media Campaigns,,,,,
Isha Samskriti - Maths Teacher - 2477,Maths Teacher,Able to teach Maths to junior and middle school children.,Isha Samskriti,Any,2,Approved,Education / Mathematics Teacher,,,1,0 ~ 5,Bachelor of Science (B.Sc)
Emedia Operations - Platform Manager - 2478,Platform Manager,"Responsibilities:
Prepare and execute the content calendar for assigned social media platforms 
Ensure high quality of content in the posts 
Regular & consistent posting on the platform
Ensure social media target is achieved with a strong action plan 
Track analytics regularly, generate reports to communicate performance
Understand platform tactics/operations and execute
Develop insights on post performance over time
Follow best practices guideline
Coordinate with other teams for creatives and communications",E-Media Panel / Emedia Operations,Any,1,Approved,Emedia / Active on Social Media,,Hindi / हिंदी,0,,
,,,,,,,Emedia / Influencer,,,,,
,,,,,,,Emedia / Social Media Campaigns,,,,,
Emedia Operations - Platform Manager - 2479,Platform Manager,"Responsibilities:
Prepare and execute the content calendar for assigned social media platforms 
Ensure high quality of content in the posts 
Regular & consistent posting on the platform
Ensure social media target is achieved with a strong action plan 
Track analytics regularly, generate reports to communicate performance
Understand platform tactics/operations and execute
Develop insights on post performance over time
Follow best practices guideline
Coordinate with other teams for creatives and communications",E-Media Panel / Emedia Operations,Any,4,Approved,Emedia / Active on Social Media,,French / Français,0,,
,,,,,,,Emedia / Influencer,,,,,
,,,,,,,Emedia / Social Media Campaigns,,,,,
Emedia Operations - Social media Manager - 2480,Social media Manager,"Responsibilities:
Prepare and execute the content calendar for assigned social media platforms 
Ensure high quality of content in the posts 
Regular & consistent posting on the platform
Ensure social media target is achieved with a strong action plan 
Track analytics regularly, generate reports to communicate performance
Understand platform tactics/operations and execute
Develop insights on post performance over time
Follow best practices guideline
Coordinate with other teams for creatives and communications",E-Media Panel / Emedia Operations,Any,1,Approved,Emedia / Active on Social Media,,French / Français,0,,
,,,,,,,Emedia / Influencer,,,,,
,,,,,,,Emedia / Social Media Campaigns,,,,,
Emedia Operations - Platform Manager - 2481,Platform Manager,"Responsibilities:
Prepare and execute the content calendar for assigned social media platforms 
Ensure high quality of content in the posts 
Regular & consistent posting on the platform
Ensure social media target is achieved with a strong action plan 
Track analytics regularly, generate reports to communicate performance
Understand platform tactics/operations and execute
Develop insights on post performance over time
Follow best practices guideline
Coordinate with other teams for creatives and communications",E-Media Panel / Emedia Operations,Any,2,Approved,Emedia / Active on Social Media,,Russian / русский язык,0,,
,,,,,,,Emedia / Influencer,,,,,
,,,,,,,Emedia / Social Media Campaigns,,,,,
Emedia Operations - Platform Manager - 2482,Platform Manager,"Responsibilities:
Prepare and execute the content calendar for assigned social media platforms 
Ensure high quality of content in the posts 
Regular & consistent posting on the platform
Ensure social media target is achieved with a strong action plan 
Track analytics regularly, generate reports to communicate performance
Understand platform tactics/operations and execute
Develop insights on post performance over time
Follow best practices guideline
Coordinate with other teams for creatives and communications",E-Media Panel / Emedia Operations,Any,4,Approved,Emedia / Active on Social Media,,Portuguese / Português,0,,
,,,,,,,Emedia / Influencer,,,,,
,,,,,,,Emedia / Social Media Campaigns,,,,,
Emedia Operations - Platform Manager - 2483,Platform Manager,"Responsibilities:
Prepare and execute the content calendar for assigned social media platforms 
Ensure high quality of content in the posts 
Regular & consistent posting on the platform
Ensure social media target is achieved with a strong action plan 
Track analytics regularly, generate reports to communicate performance
Understand platform tactics/operations and execute
Develop insights on post performance over time
Follow best practices guideline
Coordinate with other teams for creatives and communications",E-Media Panel / Emedia Operations,Any,1,Approved,Emedia / Active on Social Media,,German / Deutsch,0,,
,,,,,,,Emedia / Influencer,,,,,
,,,,,,,Emedia / Social Media Campaigns,,,,,
Emedia Operations - Platform Manager - 2484,Platform Manager,"Responsibilities:
Prepare and execute the content calendar for assigned social media platforms 
Ensure high quality of content in the posts 
Regular & consistent posting on the platform
Ensure social media target is achieved with a strong action plan 
Track analytics regularly, generate reports to communicate performance
Understand platform tactics/operations and execute
Develop insights on post performance over time
Follow best practices guideline
Coordinate with other teams for creatives and communications",E-Media Panel / Emedia Operations,Any,3,Approved,Emedia / Active on Social Media,,Romanian / română,0,,
,,,,,,,Emedia / Influencer,,,,,
,,,,,,,Emedia / Social Media Campaigns,,,,,
Isha Samskriti - On ground Support - 2485,On ground Support,To be able to guide students in different Physical fitness routines and exercises. Help students build stamina and agility,Isha Samskriti,Any,1,Approved,Education / Physical education teacher,,,1,0 ~ 5,
Emedia Operations - Platform Manager - 2486,Platform Manager,"Responsibilities:
Prepare and execute the content calendar for assigned social media platforms 
Ensure high quality of content in the posts 
Regular & consistent posting on the platform
Ensure social media target is achieved with a strong action plan 
Track analytics regularly, generate reports to communicate performance
Understand platform tactics/operations and execute
Develop insights on post performance over time
Follow best practices guideline
Coordinate with other teams for creatives and communications",E-Media Panel / Emedia Operations,Any,1,Approved,Emedia / Active on Social Media,,Chinese (Traditional) / 繁體中文,0,,
,,,,,,,Emedia / Influencer,,,,,
,,,,,,,Emedia / Social Media Campaigns,,,,,
Emedia Operations - Platform Manager - 2487,Platform Manager,"Responsibilities:
Prepare and execute the content calendar for assigned social media platforms 
Ensure high quality of content in the posts 
Regular & consistent posting on the platform
Ensure social media target is achieved with a strong action plan 
Track analytics regularly, generate reports to communicate performance
Understand platform tactics/operations and execute
Develop insights on post performance over time
Follow best practices guideline
Coordinate with other teams for creatives and communications",E-Media Panel / Emedia Operations,Any,2,Approved,Emedia / Active on Social Media,,Chinese (Simplified) / 简体中文,0,,
,,,,,,,Emedia / Influencer,,,,,
,,,,,,,Emedia / Social Media Campaigns,,,,,
Farmer Producer Organisation (FPO) - Agri Marketing - 2488,Agri Marketing,"Explore crop wise market, value added products 
Establish market linkages. Business Plan preparation and daily tracking the plan vs actual.",Farmer Producer Organisation (FPO),Any,2,Approved,Corporate / Marketing & Branding Manager,Environment / Agriculture/ Farmer,Tamil,0,,Bachelor - Other
,,,,,,,,,English (UK),,,
Farmer Producer Organisation (FPO) - Finance & Accounting Executive - 2489,Finance & Accounting Executive,"Track expenses of the FPO & CBBO
Tally Verification on Daily basis
Train Accountant 
Budget vs actual expenses tracking both for FPO and CBBO",Farmer Producer Organisation (FPO),Any,2,Approved,Corporate / Financial & Accounting Executive,Corporate / Financial & Accounting Executive,Tamil,0,,Bachelor - Other
,,,,,,,,,English (UK),,,
Farmer Producer Organisation (FPO) - Crop Husbandry - 2490,Crop Husbandry,"Crop wise training manual preparation and monitoring
Preparing model paper for the crops
Booklet preparation on crop management",Farmer Producer Organisation (FPO),Any,3,Approved,Environment / Agriculture/ Farmer,,Tamil,0,,Bachelor - Other
,,,,,,,,,English (UK),,,
Farmer Producer Organisation (FPO) - Coordinating Activities - 2491,Coordinating Activities,"Event coordination 
BoD Meetings, Trainings, AGM, Farmers Event
Coordination for the entire events and execution",Farmer Producer Organisation (FPO),Any,3,Approved,General / Event Manager,,,0,,Bachelor - Other
Farmer Producer Organisation (FPO) - Data Analyst - 2492,Data Analyst,Verifying the internal Databases maintained by team and error checking & Gap identification,Farmer Producer Organisation (FPO),Any,3,Approved,IT / Data Analyst,IT / Data Analyst,,0,,Bachelor - Other
Farmer Producer Organisation (FPO) - Content Creator - 2493,Content Creator,"Preparaing content for various reports, proposals,posters, banners newsletter, Magzines",Farmer Producer Organisation (FPO),Any,3,Approved,Media and Communication / Content Writer,Media and Communication / Content Writer,,1,0 ~ 5,Bachelor - Other
Farmer Producer Organisation (FPO) - Video Editor - 2494,Video Editor,"Basic video editing skills to edit videos for fpo promotion and other activities, Desiging of posters & Banners for events",Farmer Producer Organisation (FPO),Any,3,Approved,Arts and Crafts / Video Editor,Arts and Crafts / Video Editor,,1,0 ~ 5,Bachelor - Other
Farmer Producer Organisation (FPO) - Social media Manager - 2495,Social media Manager,"Communicating with Emedia team for contect publication, Planning for social media content publication & followup works",Farmer Producer Organisation (FPO),Any,3,Approved,Emedia / Active on Social Media,Emedia / Active on Social Media,,0,,Bachelor - Other
Farmer Producer Organisation (FPO) - Data Analyst - 2497,Data Analyst,Enter information of FPO in specific templates created for decision making,Farmer Producer Organisation (FPO),Any,2,Approved,Basic Computer Skills / Data Entry skills,,Kannada,0,,
,,,,,,,,,English (UK),,,
Farmer Producer Organisation (FPO) - Researcher - 2498,Researcher,Research and data entry support,Farmer Producer Organisation (FPO),Any,1,Approved,General / Researcher,IT / Data Analyst,English (UK),0,,
Farmer Producer Organisation (FPO) - Chartered Accountant - 2499,Chartered Accountant,"To support for Tally ledger scrutiny, Monthly GST filing, implementation of tally entries for Manufacturing Journals, Cost centre and other event based requirement through training to accountants of 7-8 FPO each
Accounts Finalization",Farmer Producer Organisation (FPO),Any,3,Approved,Accounting / Chartered Accountant,,,0,,
Farmer Producer Organisation (FPO) - Finance & Accounting Executive - 2500,Finance & Accounting Executive,"Tracking and handling Financal matter (Bills collection, entering in Oddo, follow up, clearing of queries and tracking if any balance is not matching)",Farmer Producer Organisation (FPO),Any,1,Approved,Corporate / Financial & Accounting Executive,,,0,,
Archives - Data Analyst - 2501,Data Analyst,"a)Social Media Mapping- 4 volunteers needed.
1. Event listing and mapping media to events (audio,video, transcripts)
2. Generating Reports
3.Need to know about google sheets and formulas, scripting also. 

b)Data Curation support- 2 volunteers needed.
1. sort,curate and organize the backlog and current photos, generating the records.
2.need to know some skills/knowledge in photography.
3.Sort and organize the edited videos in standard following methods.
4.Need someone who have a good idea about editing softwares(ex: final cut pro, adobe premiere pro)",Archives,Any,6,Approved,Soft Skills / Articulate in communication,,English (US),1,0 ~ 5,
,,,,,,,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,,,,,
,,,,,,,IT / Data Analyst,,,,,
,,,,,,,Basic Computer Skills / Data Entry skills,,,,,
,,,,,,,Arts and Crafts / Video Editor,,,,,
