Request Name,Job Title,Job Description,Department,Languages,Skills/Keywords,Add'l Skills
Indian Language Publications - Marathi Translator - 2424,Marathi Translator,"Translation of Sadhguru videos, articles, and books.",Indian Language Publications,"English (UK),Marathi",Media and Communication / Copywriter,NA
Indian Language Publications - Gujarati Translator - 2425,Gujarati Translator,"Translation of Sadhguru videos, articles, and books.",Indian Language Publications,"English (UK),Gujarati / ગુજરાતી",Media and Communication / Copywriter,NA
Indian Language Publications - Assamese Translator - 2426,Assamese Translator,"Translation of Sadhguru videos, articles, and books.",Indian Language Publications,"English (UK),Assamese",Media and Communication / Copywriter,NA
Indian Language Publications - Odia Translator - 2427,Odia Translator,"Translation of Sadhguru videos, articles, and books.",Indian Language Publications,"English (UK),Oriya",Media and Communication / Copywriter,NA
Indian Language Publications - Nepali Translator - 2428,Nepali Translator,"Translation of Sadhguru videos, articles, and books.",Indian Language Publications,"English (UK),Nepali",Media and Communication / Copywriter,NA
Indian Language Publications - Punjabi Translator - 2429,Punjabi Translator,"Translation of Sadhguru videos, articles, and books.",Indian Language Publications,"English (UK),Punjabi",Media and Communication / Copywriter,NA
Cauvery Calling - Customer Support Representatives - 2430,Customer Support Representatives,"# Handle incoming and outgoing calls on the Cauvery Calling Helpline.
# Must have good communication and reporting skills as the callers have to speak to farmers and document the call. 
# Must be fluent in Kannada- speaking, reading and writing all are a must
# As the job requires one to speak with people one should be friendly in mingling with people",Rally for Rivers / Cauvery Calling,"Kannada,English (US),Tamil","Media and Communication / BPO,Basic Computer Skills / Basic Computer (MS Office and Email) Skills",NA
Communications - Social media Manager - 2431,Social media Manager,"Prior experience or interest in Social Media. Understanding of social media platforms, trends, and analytics.",Rally for Rivers / Cauvery Calling / Communications,"English (US),Tamil","Emedia / Active on Social Media,Media and Communication / Creative Writer","Soft Skills / Articulate in communication,Soft Skills / Enthusiastic,Emedia / Search Engine Optimization (SEO)"
Ashram Clinic - Physiotherapist - 2432,Physiotherapist,To assess and treat the patients who need physio support,Ashram Clinic,"English (UK),Tamil",Medical / Physiotherapist,Basic Computer Skills / Basic Computer (MS Office and Email) Skills
Thaimann Kakkum Vivasayam - Farming support - 2433,Farming support,Good to have knowledge and experience in organic farming. We need people who are passionate to work in the field.,Save Soil,"English (US),Tamil","Environment / Agriculture/ Farmer,Soft Skills / Fit for Physical Seva",Soft Skills / Enthusiastic
Ashram Clinic - Allopathy Doctor - 2435,Allopathy Doctor,To assess the patients diagnose and treat them accordingly,Ashram Clinic,"English (UK),Tamil,Hindi / हिंदी",Medical / Allopathy Doctor,"Soft Skills / Articulate in communication,Basic Computer Skills / Basic Computer (MS Office and Email) Skills"
Ashram Clinic - Nurse - 2436,Nurse,To provide treatment and care to patients as directed by the treating physician,Ashram Clinic,"English (UK),Tamil","Soft Skills / Articulate in communication,Basic Computer Skills / Basic Computer (MS Office and Email) Skills","Soft Skills / Articulate in communication,Basic Computer Skills / Basic Computer (MS Office and Email) Skills"
Ashram Clinic - Pharmacist - 2437,Pharmacist,To check the prescriptions and dispense medicines as directed by the physicians,Ashram Clinic,"English (UK),Tamil","Basic Computer Skills / Basic Computer (MS Office and Email) Skills,Medical / Pharmacist",Soft Skills / Articulate in communication
Back office - Administrative Activities (Back Office) - 2438,Administrative Activities (Back Office),"Calling, handling email communications, basic computer activities, bookkeeping, data entry, maintaining database, scanning documents, managing inventory, storekeeping, scheduling meetings, organization, time management, and basic report making.",Rally for Rivers / Cauvery Calling / Back office,"English (US),Tamil,Hindi / हिंदी",Basic Computer Skills / Basic Computer (MS Office and Email) Skills,NA
Thaimann Kakkum Vivasayam - Farming support - 2439,Farming support,"Farm activities like seed sowing, harvesting, weeding",Save Soil / Thaimann Kakkum Vivasayam,"English (US),Tamil,Kannada,Hindi / हिंदी",Soft Skills / Fit for Physical Seva,NA
Ashram Clinic - Front Office Activities - 2440,Front Office Activities,"To receive patients, make necessary entries, guide them to the consultation rooms, attend to the phone calls and guide the patients on their queries",Ashram Clinic,"English (UK),Tamil,Hindi / हिंदी","Soft Skills / Articulate in communication,Basic Computer Skills / Basic Computer (MS Office and Email) Skills",NA
Nurseries - TN - SPP & DP - Nursery Support - 2441,Nursery Support,"Watering, soil filling, sapling shifting activities.",Rally for Rivers / Cauvery Calling / Nurseries - TN - SPP & DP,"English (US),Tamil,Hindi / हिंदी",Soft Skills / Fit for Physical Seva,NA
Research & Technical team - Researcher - 2442,Researcher,"# Has excellent research, analytical, writing & presentation skills.
# Possesses a strong understanding of ecological principles and environmental challenges.
# Demonstrates a keen interest in nature-based solutions and their potential to address sustainability issues.
# Supporting project development: Assisting senior consultants with research, data analysis, feasibility studies, and stakeholder engagement for global Save Soil projects.
# Contributing to technical reports, proposals and presentations
# Engaging with clients and stakeholders: Participating in meetings, workshops, and site visits to gather information, understand needs, and build relationships.
# Staying up-to-date on the latest advancements in global soil health: Actively learning about context-specific NBS technologies, methodologies, and best practices.
# Contributing to internal knowledge sharing: Assisting with the development of internal resources and training materials related to Nature-based solutions",Save Soil / Research & Technical team,English (US),"Basic Computer Skills / Basic Computer (MS Office and Email) Skills,General / Researcher",NA
Cauvery Calling - Data Analyst - 2443,Data Analyst,"Support to the MIS team, part of the Cauvery Calling Department in Isha Yoga Center, Coimbatore, in reviewing operational processes, files and reports of all verticals in the Project. Preferably with 0-2 Years of work experience in accounting/data management / MIS & Reporting / Data Analytics",Rally for Rivers / Cauvery Calling,"English (US),Tamil","Basic Computer Skills / Basic Computer (MS Office and Email) Skills,IT / Data Analyst",Accounting / Chartered Accountant
Thaimann Kakkum Vivasayam - Call Centre - 2444,Call Centre,Follow-up farmers through phone calls and billing entries.,Save Soil / Thaimann Kakkum Vivasayam,"English (US),Tamil","Media and Communication / BPO,Basic Computer Skills / Basic Computer (MS Office and Email) Skills",NA
Guest care - Data Analyst - 2445,Data Analyst,"- Tasked with designing, developing, and maintaining complex spreadsheet systems using Google Sheets.
- Proficient in creating custom formulas, scripts, and automation to optimize workflows and streamline processes.
- Responsible for analyzing data sets using Google Sheets, creating complex formulas and functions to derive insights, and developing visualizations for reporting purposes.
- Proficient in manipulating large datasets, conducting data cleansing, and ensuring data accuracy within Google Sheets or similar spreadsheet platforms (Appsheet)
- Tasked with designing, developing, and maintaining complex spreadsheet systems using Google Sheets.

** Can maintain data confidentiality (trustable with sensitive VIP data)
** Preferably someone who has volunteered before",IYC Communications / Guest care,NA,Soft Skills / Articulate in communication,NA
Guest care - Content Manager - 2446,Content Manager,"Content Writer, Content Manager, Researcher, Project Manager (Music Related)

Experienced in the music or entertainment industry. Experience working as an artist or entertainment manager, A&R in music, creative direction / project management / brand building for music projects, and basic graphic design and Google office skills. Support of this volunteer will be required for the upcoming conscious planet movt.",IYC Communications / Guest care,English (US),"Soft Skills / Articulate in communication,Media and Communication / Communication Trainer,Arts and Crafts / Musician",NA
Isha Rural Health Clinic - Allopathy Doctor - 2447,Allopathy Doctor,Need Doctors for the Muttathuvayal Tribal Clinic,Outreach / Isha Rural Health Clinic,"Tamil,English (US)",Medical / Allopathy Doctor,Soft Skills / Fit for Physical Seva
Isha Rural Health Clinic - Dentist - 2448,Dentist,Dentist for Alandurai Rural Clinic,Outreach / Isha Rural Health Clinic,"Tamil,English (US)",Medical / Dentist,Soft Skills / Articulate in communication
Isha Rural Health Clinic - On ground Support - 2449,On ground Support,"Need organising and administration support for the 2 Isha Rural Health Clinics in Coimbatore. Support might include facilitating the shifting of patients from the villages to Isha/Outside clinics, Taking care of the Herbal Garden etc...",Outreach / Isha Rural Health Clinic,"Tamil,English (US)",Soft Skills / Fit for Physical Seva,NA
Isha Rural Health Clinic - Content Writer - 2450,Content Writer,"Who can support in writing reports especially donor reports, creating newsletters etc..",Outreach / Isha Rural Health Clinic,"Tamil,English (US)",Media and Communication / Content Writer,IT / Data Analyst
TN Media - Guest Care Support - 2451,Guest Care Support,"""""""Key Responsibilities:
- Guest Engagement : Greet guests warmly and assist them with any inquiries, requests, or concerns, take them on an ashram tour, and - - ensure a welcoming and friendly atmosphere during their whole time at IYC.
Information Resource: Provide accurate information about the ashram spaces, Isha’s projects, programs and anything else that might come up.
- Communication: Maintain clear and open communication with guests through various channels, including in-person, phone, email, or chat.
- Booking and Reservation Assistance: Assist guests in making reservations, bookings, for cottage, cab and programs/rituals. 
Feedback Collection: Collect and record guest feedback and reviews, forwarding valuable insights to the relevant teams for continuous improvement.
- Emergency Response: Be knowledgeable about emergency procedures and assist in handling guest-related emergencies calmly and efficiently.
- Record Keeping: Maintain detailed records of guest interactions and transactions, ensuring accuracy and confidentiality.
- Team Collaboration: Collaborate closely with other departments to coordinate guest services and resolve issues effectively.

Requirements:
Strong interpersonal and communication skills, proficiency in speaking and reading Tamil and English
Empathy and a genuine desire to make sure guests experience the ashram in the best way possible
Ability to remain calm and composed in high-pressure situations.
Excellent problem-solving skills and attention to detail.
Flexibility to be available at all hours when required on certain days.
""""""",IYC Communications / TN Media,NA,General / Hospitality/ Hotel Manager,NA
Construction - LSP - Product/ Mechanical Engineer - 2452,Product/ Mechanical Engineer,"Will be using Solid works or Inventor to make 3D models of temple production products, carpentry furniture etc.",Construction - LSP,Tamil,"Arts and Crafts / Carpenter,Engineering / Industrial Engineer,Engineering / Mechanial Engineer","Construction & Fabrication / Architect,Engineering / Mechanial Engineer"
Construction - LSP - Administrative Activities (Back Office) - 2453,Administrative Activities (Back Office),Will be doing back office accounting work,Construction - LSP,Tamil,Accounting / Basic Accountancy,NA
Construction - LSP - Architect - 2454,Architect,"Architectural Drawings for Multi-Storied building and Independent houses. 
Would be good to have some exposure to MEP design
Should know to use Sketchup or AutoCad
May work on Interior designs",Construction - LSP,Tamil,Construction & Fabrication / Architect,NA
Construction - LSP - Structural Engineer - 2456,Structural Engineer,"Perform ETABS or Staad analysis of RCC or Steel Structural buildings
Must have 2 years of experience
Must know how to use AutoCAD
Advantage if the person knows Inventor or Solidworks",Construction - LSP,NA,"Engineering / Engineering - Others,Engineering / Mechanial Engineer,Construction & Fabrication / Structural Engineer",NA
Archives - Transcription - 2457,Transcription,"1. English - Backlog Transcription, completing Tamil content in English files.
2. Tamil - Proofreading backlog files, completing English content in Tamil files
3. Edited - Proofreading backlog files",Archives,"English (US),Tamil","Media and Communication / Content Writer,Media and Communication / Creative Writer",NA
Construction - LSP - Civil Estimators - 2458,Civil Estimators,"Should be able to supervise Site activities
Should be able to estimate material needed for civil or steel structures",Construction - LSP,NA,Construction & Fabrication / Construction - Others,NA
Construction - LSP - Product/Furniturer/Interior Designer - 2459,Product/Furniturer/Interior Designer,Interior Designers,Construction - LSP,NA,Construction & Fabrication / Interior Design,NA
Construction - LSP - Mechanical/Automobile Engineer - 2460,Mechanical/Automobile Engineer,Automobile Expert,Construction - LSP,NA,"Engineering / Automobile Engineer,Engineering / Mechanial Engineer",NA
Construction - LSP - Site Supervisor - 2461,Site Supervisor,Construction Site Supervising,Construction - LSP,Tamil,"Construction & Fabrication / Construction - Others,Construction & Fabrication / Construction Supervisor",NA
Construction - LSP - Chemical/ Paint Engineer - 2462,Chemical/ Paint Engineer,For painting Department,Construction - LSP,NA,Engineering / Engineering - Others,NA
Construction - LSP - Illustrator - 2463,Illustrator,Support illustration related to construction aesthetics,Construction - LSP,NA,Arts and Crafts / Painter,NA
Archives - Data Analyst - 2464,Data Analyst,"- Conduct meticulous analysis of various datasets to identify and correct data inaccuracies and inconsistencies.
- Design and implement data validation rules and cleanup procedures, ensuring data quality and reliability.
- Perform regular data audits to assess the accuracy and integrity of the data, making corrections as needed.
- Maintain a repository of data quality issues and corresponding resolutions for reference and process improvement.",Archives,"English (US),Hindi / हिंदी,Telugu / తెలుగు,Kannada,Tamil,Marathi,Gujarati / ગુજરાતી,Oriya,Malayalam,Nepali","IT / Data Analyst,Basic Computer Skills / Data Entry skills",NA
Emedia Operations - Project Manager - 2465,Project Manager,Keeping track of all the action items across projects and verticals. Follow up with the various stakeholders to ensure the open items are getting closed on time. This is for Isha Websites,E-Media Panel / Emedia Operations,NA,IT / Project Manager,NA
Emedia Operations - Google Tag Manager / Google Analytics Specialist - 2466,Google Tag Manager / Google Analytics Specialist,Has prior experience in Google Analytics. Support for setting up analytics platforms and tag implementation.,E-Media Panel / Emedia Operations,NA,"Emedia / Google Analytics,Emedia / Google Tag Manager",NA
Emedia Operations - Data Analyst - 2467,Data Analyst,"Analysing data, providing insights, and reporting, has prior data analyst experience",E-Media Panel / Emedia Operations,NA,IT / Data Analyst,NA
Emedia Operations - Data Scientist - 2468,Data Scientist,"Prior experience as a Data scientist. Knowledge of Data Analysis, Model Development, Visualization, and Reporting",E-Media Panel / Emedia Operations,NA,IT / Data Analyst,NA
Emedia Operations - Business Analyst (BA) - 2469,Business Analyst (BA),"1. Prior experience in Requirements capture & documenting. 
2. Good Communication skills
3. Analytical thinking",E-Media Panel / Emedia Operations,NA,IT / Business Analyst,NA
Emedia Operations - Paid Ads Expert - 2470,Paid Ads Expert,"Experience with running paid ads and worked on client side or digital agency. Help support the paid team in planning & executing paid ad for various Ad campaigns on Google, Facebook, Instagram, YouTube, LinkedIn etc.",E-Media Panel / Emedia Operations,NA,"Emedia / Pay Per Click (PPC), Google/ Facebook Ads",NA
Emedia Operations - Social media Manager - 2471,Social media Manager,"Prepare and execute the content calendar for assigned social media platforms 
Ensure high quality of content in the posts 
Regular & consistent posting on the platform
Ensure social media target is achieved with a strong action plan 
Track analytics regularly, generate reports to communicate performance
Understand platform tactics/operations and execute
Develop insights on post performance over time
Follow best practices guideline
Coordinate with other teams for creatives and communications",E-Media Panel / Emedia Operations,Arabic / الْعَرَبيّة,"Emedia / Active on Social Media,Emedia / Influencer,Emedia / Social Media Campaigns",NA
Emedia Operations - Platform Manager - 2472,Platform Manager,"Responsibilities:
Prepare and execute the content calendar for assigned social media platforms 
Ensure high quality of content in the posts 
Regular & consistent posting on the platform
Ensure social media target is achieved with a strong action plan 
Track analytics regularly, generate reports to communicate performance
Understand platform tactics/operations and execute
Develop insights on post performance over time
Follow best practices guideline
Coordinate with other teams for creatives and communications",E-Media Panel / Emedia Operations,Arabic / الْعَرَبيّة,"Emedia / Active on Social Media,Emedia / Influencer,Emedia / Social Media Campaigns",NA
Emedia Operations - Platform Manager - 2473,Platform Manager,"Responsibilities:
Prepare and execute the content calendar for assigned social media platforms 
Ensure high quality of content in the posts 
Regular & consistent posting on the platform
Ensure social media target is achieved with a strong action plan 
Track analytics regularly, generate reports to communicate performance
Understand platform tactics/operations and execute
Develop insights on post performance over time
Follow best practices guideline
Coordinate with other teams for creatives and communications",E-Media Panel / Emedia Operations,Spanish / Español,"Emedia / Active on Social Media,Emedia / Influencer,Emedia / Social Media Campaigns",NA
Emedia Operations - Platform Manager - 2474,Platform Manager,"Pinterest

Responsibilities:
Prepare and execute the content calendar for assigned social media platforms 
Ensure high quality of content in the posts 
Regular & consistent posting on the platform
Ensure social media target is achieved with a strong action plan 
Track analytics regularly, generate reports to communicate performance
Understand platform tactics/operations and execute
Develop insights on post performance over time
Follow best practices guideline
Coordinate with other teams for creatives and communications",E-Media Panel / Emedia Operations,English (US),"Emedia / Active on Social Media,Emedia / Influencer,Emedia / Social Media Campaigns",NA
Emedia Operations - Platform Manager - 2475,Platform Manager,"GMB

Responsibilities:
Prepare and execute the content calendar for assigned social media platforms 
Ensure high quality of content in the posts 
Regular & consistent posting on the platform
Ensure social media target is achieved with a strong action plan 
Track analytics regularly, generate reports to communicate performance
Understand platform tactics/operations and execute
Develop insights on post performance over time
Follow best practices guideline
Coordinate with other teams for creatives and communications",E-Media Panel / Emedia Operations,English (US),"Emedia / Active on Social Media,Emedia / Influencer,Emedia / Social Media Campaigns",NA
Emedia Operations - Platform Manager - 2476,Platform Manager,"Responsibilities:
Prepare and execute the content calendar for assigned social media platforms 
Ensure high quality of content in the posts 
Regular & consistent posting on the platform
Ensure social media target is achieved with a strong action plan 
Track analytics regularly, generate reports to communicate performance
Understand platform tactics/operations and execute
Develop insights on post performance over time
Follow best practices guideline
Coordinate with other teams for creatives and communications",E-Media Panel / Emedia Operations,Telugu / తెలుగు,"Emedia / Active on Social Media,Emedia / Influencer,Emedia / Social Media Campaigns",NA
Isha Samskriti - Maths Teacher - 2477,Maths Teacher,Able to teach Maths to junior and middle school children.,Isha Samskriti,NA,Education / Mathematics Teacher,NA
Emedia Operations - Platform Manager - 2478,Platform Manager,"Responsibilities:
Prepare and execute the content calendar for assigned social media platforms 
Ensure high quality of content in the posts 
Regular & consistent posting on the platform
Ensure social media target is achieved with a strong action plan 
Track analytics regularly, generate reports to communicate performance
Understand platform tactics/operations and execute
Develop insights on post performance over time
Follow best practices guideline
Coordinate with other teams for creatives and communications",E-Media Panel / Emedia Operations,Hindi / हिंदी,"Emedia / Active on Social Media,Emedia / Influencer,Emedia / Social Media Campaigns",NA
Emedia Operations - Platform Manager - 2479,Platform Manager,"Responsibilities:
Prepare and execute the content calendar for assigned social media platforms 
Ensure high quality of content in the posts 
Regular & consistent posting on the platform
Ensure social media target is achieved with a strong action plan 
Track analytics regularly, generate reports to communicate performance
Understand platform tactics/operations and execute
Develop insights on post performance over time
Follow best practices guideline
Coordinate with other teams for creatives and communications",E-Media Panel / Emedia Operations,French / Français,"Emedia / Active on Social Media,Emedia / Influencer,Emedia / Social Media Campaigns",NA
Emedia Operations - Social media Manager - 2480,Social media Manager,"Responsibilities:
Prepare and execute the content calendar for assigned social media platforms 
Ensure high quality of content in the posts 
Regular & consistent posting on the platform
Ensure social media target is achieved with a strong action plan 
Track analytics regularly, generate reports to communicate performance
Understand platform tactics/operations and execute
Develop insights on post performance over time
Follow best practices guideline
Coordinate with other teams for creatives and communications",E-Media Panel / Emedia Operations,French / Français,"Emedia / Active on Social Media,Emedia / Influencer,Emedia / Social Media Campaigns",NA
Emedia Operations - Platform Manager - 2481,Platform Manager,"Responsibilities:
Prepare and execute the content calendar for assigned social media platforms 
Ensure high quality of content in the posts 
Regular & consistent posting on the platform
Ensure social media target is achieved with a strong action plan 
Track analytics regularly, generate reports to communicate performance
Understand platform tactics/operations and execute
Develop insights on post performance over time
Follow best practices guideline
Coordinate with other teams for creatives and communications",E-Media Panel / Emedia Operations,Russian / русский язык,"Emedia / Active on Social Media,Emedia / Influencer,Emedia / Social Media Campaigns",NA
Emedia Operations - Platform Manager - 2482,Platform Manager,"Responsibilities:
Prepare and execute the content calendar for assigned social media platforms 
Ensure high quality of content in the posts 
Regular & consistent posting on the platform
Ensure social media target is achieved with a strong action plan 
Track analytics regularly, generate reports to communicate performance
Understand platform tactics/operations and execute
Develop insights on post performance over time
Follow best practices guideline
Coordinate with other teams for creatives and communications",E-Media Panel / Emedia Operations,Portuguese / Português,"Emedia / Active on Social Media,Emedia / Influencer,Emedia / Social Media Campaigns",NA
Emedia Operations - Platform Manager - 2483,Platform Manager,"Responsibilities:
Prepare and execute the content calendar for assigned social media platforms 
Ensure high quality of content in the posts 
Regular & consistent posting on the platform
Ensure social media target is achieved with a strong action plan 
Track analytics regularly, generate reports to communicate performance
Understand platform tactics/operations and execute
Develop insights on post performance over time
Follow best practices guideline
Coordinate with other teams for creatives and communications",E-Media Panel / Emedia Operations,German / Deutsch,"Emedia / Active on Social Media,Emedia / Influencer,Emedia / Social Media Campaigns",NA
Emedia Operations - Platform Manager - 2484,Platform Manager,"Responsibilities:
Prepare and execute the content calendar for assigned social media platforms 
Ensure high quality of content in the posts 
Regular & consistent posting on the platform
Ensure social media target is achieved with a strong action plan 
Track analytics regularly, generate reports to communicate performance
Understand platform tactics/operations and execute
Develop insights on post performance over time
Follow best practices guideline
Coordinate with other teams for creatives and communications",E-Media Panel / Emedia Operations,Romanian / română,"Emedia / Active on Social Media,Emedia / Influencer,Emedia / Social Media Campaigns",NA
Isha Samskriti - On ground Support - 2485,On ground Support,To be able to guide students in different Physical fitness routines and exercises. Help students build stamina and agility,Isha Samskriti,NA,Education / Physical education teacher,NA
Emedia Operations - Platform Manager - 2486,Platform Manager,"Responsibilities:
Prepare and execute the content calendar for assigned social media platforms 
Ensure high quality of content in the posts 
Regular & consistent posting on the platform
Ensure social media target is achieved with a strong action plan 
Track analytics regularly, generate reports to communicate performance
Understand platform tactics/operations and execute
Develop insights on post performance over time
Follow best practices guideline
Coordinate with other teams for creatives and communications",E-Media Panel / Emedia Operations,Chinese (Traditional) / 繁體中文,"Emedia / Active on Social Media,Emedia / Influencer,Emedia / Social Media Campaigns",NA
Emedia Operations - Platform Manager - 2487,Platform Manager,"Responsibilities:
Prepare and execute the content calendar for assigned social media platforms 
Ensure high quality of content in the posts 
Regular & consistent posting on the platform
Ensure social media target is achieved with a strong action plan 
Track analytics regularly, generate reports to communicate performance
Understand platform tactics/operations and execute
Develop insights on post performance over time
Follow best practices guideline
Coordinate with other teams for creatives and communications",E-Media Panel / Emedia Operations,Chinese (Simplified) / 简体中文,"Emedia / Active on Social Media,Emedia / Influencer,Emedia / Social Media Campaigns",NA
Farmer Producer Organisation (FPO) - Agri Marketing - 2488,Agri Marketing,"Explore crop wise market, value added products 
Establish market linkages. Business Plan preparation and daily tracking the plan vs actual.",Farmer Producer Organisation (FPO),"Tamil,English (UK)",Corporate / Marketing & Branding Manager,Environment / Agriculture/ Farmer
Farmer Producer Organisation (FPO) - Finance & Accounting Executive - 2489,Finance & Accounting Executive,"Track expenses of the FPO & CBBO
Tally Verification on Daily basis
Train Accountant 
Budget vs actual expenses tracking both for FPO and CBBO",Farmer Producer Organisation (FPO),"Tamil,English (UK)",Corporate / Financial & Accounting Executive,Corporate / Financial & Accounting Executive
Farmer Producer Organisation (FPO) - Crop Husbandry - 2490,Crop Husbandry,"Crop wise training manual preparation and monitoring
Preparing model paper for the crops
Booklet preparation on crop management",Farmer Producer Organisation (FPO),"Tamil,English (UK)",Environment / Agriculture/ Farmer,NA
Farmer Producer Organisation (FPO) - Coordinating Activities - 2491,Coordinating Activities,"Event coordination 
BoD Meetings, Trainings, AGM, Farmers Event
Coordination for the entire events and execution",Farmer Producer Organisation (FPO),NA,General / Event Manager,NA
Farmer Producer Organisation (FPO) - Data Analyst - 2492,Data Analyst,Verifying the internal Databases maintained by team and error checking & Gap identification,Farmer Producer Organisation (FPO),NA,IT / Data Analyst,IT / Data Analyst
Farmer Producer Organisation (FPO) - Content Creator - 2493,Content Creator,"Preparaing content for various reports, proposals,posters, banners newsletter, Magzines",Farmer Producer Organisation (FPO),NA,Media and Communication / Content Writer,Media and Communication / Content Writer
Farmer Producer Organisation (FPO) - Video Editor - 2494,Video Editor,"Basic video editing skills to edit videos for fpo promotion and other activities, Desiging of posters & Banners for events",Farmer Producer Organisation (FPO),NA,Arts and Crafts / Video Editor,Arts and Crafts / Video Editor
Farmer Producer Organisation (FPO) - Social media Manager - 2495,Social media Manager,"Communicating with Emedia team for contect publication, Planning for social media content publication & followup works",Farmer Producer Organisation (FPO),NA,Emedia / Active on Social Media,Emedia / Active on Social Media
Farmer Producer Organisation (FPO) - Data Analyst - 2497,Data Analyst,Enter information of FPO in specific templates created for decision making,Farmer Producer Organisation (FPO),"Kannada,English (UK)",Basic Computer Skills / Data Entry skills,NA
Farmer Producer Organisation (FPO) - Researcher - 2498,Researcher,Research and data entry support,Farmer Producer Organisation (FPO),English (UK),General / Researcher,IT / Data Analyst
Farmer Producer Organisation (FPO) - Chartered Accountant - 2499,Chartered Accountant,"To support for Tally ledger scrutiny, Monthly GST filing, implementation of tally entries for Manufacturing Journals, Cost centre and other event based requirement through training to accountants of 7-8 FPO each
Accounts Finalization",Farmer Producer Organisation (FPO),NA,Accounting / Chartered Accountant,NA
Farmer Producer Organisation (FPO) - Finance & Accounting Executive - 2500,Finance & Accounting Executive,"Tracking and handling Financal matter (Bills collection, entering in Oddo, follow up, clearing of queries and tracking if any balance is not matching)",Farmer Producer Organisation (FPO),NA,Corporate / Financial & Accounting Executive,NA
Archives - Data Analyst - 2501,Data Analyst,"a)Social Media Mapping- 4 volunteers needed.
1. Event listing and mapping media to events (audio,video, transcripts)
2. Generating Reports
3.Need to know about google sheets and formulas, scripting also. 

b)Data Curation support- 2 volunteers needed.
1. sort,curate and organize the backlog and current photos, generating the records.
2.need to know some skills/knowledge in photography.
3.Sort and organize the edited videos in standard following methods.
4.Need someone who have a good idea about editing softwares(ex: final cut pro, adobe premiere pro)",Archives,English (US),"Soft Skills / Articulate in communication,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,IT / Data Analyst,Basic Computer Skills / Data Entry skills,Arts and Crafts / Video Editor",NA
Farmer Producer Organisation (FPO) - Company Secretary - 2502,Company Secretary,"To support for following compliance on MCA:
KYC updation of each directors of FPO, AGM doc preparation and filing of each FPO, event based reporting like: filing of INC 22 for change is FPO address, INC 20A, DIR 12 (Change in composition of Director)

Each participant will be handling approx 12 FPO.",Farmer Producer Organisation (FPO),NA,Accounting / Auditor,NA
Farmer Producer Organisation (FPO) - Content Creator - 2503,Content Creator,"Support Funds raise related documents including Pitch deck, CSR grant proposal, Donor communication, Project updates, Donor prospects tracking",Farmer Producer Organisation (FPO),"Tamil,English (UK)",Media and Communication / Content Writer,NA
Farmer Producer Organisation (FPO) - Copywriter & Script Writer - 2504,Copywriter & Script Writer,"Success Stories Script Writing, Shoot Coordination, Video out, etc.,",Farmer Producer Organisation (FPO),"Tamil,English (UK)",Media and Communication / Script Writer,NA
Farmer Producer Organisation (FPO) - Graphic Designer - 2505,Graphic Designer,"FPOs Logo, Product Label Designing, Meeting and Training content Design, News letter design, etc.,",Farmer Producer Organisation (FPO),NA,Arts and Crafts / Graphic Designer,NA
Farmer Producer Organisation (FPO) - Account Auditor - 2506,Account Auditor,Process Auditor - Process Documentation and Audit process of all 24 FPOs,Farmer Producer Organisation (FPO),"Tamil,Kannada",Accounting / Auditor,NA
Farmer Producer Organisation (FPO) - Project Manager - 2507,Project Manager,"Project Basic work, Design monitoring mechanism, Project Plan, Execution, Reports preparation, etc.,",Farmer Producer Organisation (FPO),NA,IT / Project Manager,NA
Construction - LSP - Product/ Mechanical Engineer - 2510,Product/ Mechanical Engineer,Mechanical Electrical and Plumbing related works,Construction - LSP,NA,"Construction & Fabrication / Civil Engineer,Engineering / Mechanial Engineer","Engineering / Electrical Engineer,Engineering / Mechanial Engineer,Engineering / Plumbing Engineer"
Construction - LSP - Project Manager - 2512,Project Manager,Civil or construction,Construction - LSP,Tamil,"Construction & Fabrication / Civil Engineer,Construction & Fabrication / Construction - Others",NA
Isha Bhiksha - Front Office Activities - 2513,Front Office Activities,Donation collection in the stall,Isha Bhiksha,"English (UK),Tamil","Soft Skills / Articulate in communication,Basic Computer Skills / Basic Computer (MS Office and Email) Skills",NA
Ashram Programs - Access Control - 2514,Access Control,Coordinate Ashram Program check-in at different places and give participants & volunteers program wristband,IYC Programs / Ashram Programs,NA,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,NA
Ashram Programs - Access Control - 2515,Access Control,"Program volunteering coordination
To handle front office and enroll volunteers for program through calls & email",IYC Programs / Ashram Programs,NA,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,NA
Isha Bhiksha - Marketing Manager/ Executive - 2516,Marketing Manager/ Executive,"Conceptualise, plan, and ensure execution of engaging promotional campaigns for various Bhiksha retail offerings, across various channels, including digital, social media, email, and physical stalls or standees. Collaborate with Bhiksha, regional, and Emedia teams to reach the set marketing goals.",Isha Bhiksha,English (UK),"Soft Skills / Articulate in communication,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,Media and Communication / Creative Writer,Corporate / Media Executive,IT / Project Manager",NA
Ashram Programs - On ground Support - 2517,On ground Support,To maintain and handle inventory of program materials rooms,IYC Programs / Ashram Programs,Tamil,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,NA
